period,cost,model,cycles,losing_cycles,net_profit,largest_three_vs_net_profit
evaluation,BASE,OWN_CUSHION_CONTINUOUS,21,8,48072.54596000003,0.6819068814719375
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,21,8,45256.457560000024,0.7036765075520853
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,25,10,54988.401840000195,0.7763577058343526
evaluation,STRESS,OWN_CUSHION_CYCLE_RISK,25,10,49654.32079999997,0.8307234193403777
earlier_diagnostic,BASE,OWN_CUSHION_CONTINUOUS,16,6,16384.007920000047,2.43832073538206
earlier_diagnostic,STRESS,OWN_CUSHION_CONTINUOUS,16,6,13792.077640000032,2.840087895560884
earlier_diagnostic,BASE,OWN_CUSHION_CYCLE_RISK,16,7,28053.695700000015,1.642158066895977
earlier_diagnostic,STRESS,OWN_CUSHION_CYCLE_RISK,16,7,25315.188440000016,1.78295033066718
