period,cost,model,holding_closes,buy_trades,sell_trades,unfilled_requests,mean_exposure,minimum_risk_scale,mean_risk_scale,zero_scale_origins,missing_parent_origins,closes_below_reference_floor,days_below_previous_decision_floor
evaluation,BASE,OWN_CUSHION_CONTINUOUS,198,22,23,0,0.04421043559006798,0.9080983446158596,0.984860621496221,0,0,0,0
evaluation,BASE,OWN_CUSHION_CYCLE_RISK,262,26,26,0,0.08719110724949458,0.7790035599172199,0.929847852377283,0,0,0,0
evaluation,STRESS,OWN_CUSHION_CONTINUOUS,198,22,23,0,0.0441775865704565,0.9063875626315349,0.983231267195546,0,0,0,0
evaluation,STRESS,OWN_CUSHION_CYCLE_RISK,262,26,26,0,0.08652704225302872,0.7769547068974255,0.9207847595863068,0,0,0,0
earlier_diagnostic,BASE,OWN_CUSHION_CONTINUOUS,339,17,19,0,0.09090276378023388,0.5607404324870798,0.8353958511816619,0,0,0,0
earlier_diagnostic,BASE,OWN_CUSHION_CYCLE_RISK,339,16,16,0,0.11508772025721922,0.5824403073489843,0.8900748416358417,0,0,0,0
earlier_diagnostic,STRESS,OWN_CUSHION_CONTINUOUS,339,17,19,0,0.08929775925749178,0.5461974311410703,0.8109016452243987,0,0,0,0
earlier_diagnostic,STRESS,OWN_CUSHION_CYCLE_RISK,339,16,16,0,0.11370685135968255,0.5806724384177665,0.8811109361128939,0,0,0,0
