report_year,report_end,origin,field,holdings_count,covered_holdings_count,covered_count_fraction_of_held_stocks,covered_stock_weight,covered_fund_nav_weight,uncovered_stock_weight,known_signed_weight,whole_stock_sign_lower_bound,whole_stock_sign_upper_bound,earnings_fact_direction_status,etf_future_price_direction,top_ten_covered_count,top_ten_missing_symbols
2017,2017-12-31,2018-03-30,eps_growth,317,61,0.19242902208201892,0.31202791069873587,0.3113198348246226,0.6879720893012642,0.31202791069873587,-0.3759441786025283,1.0,NO_VIEW_UNCOVERED_HOLDINGS_CAN_REVERSE_SIGN,NOT_COMPUTED,6,"['601318.SH', '000333.SZ', '000651.SZ', '600016.SH']"
2017,2017-12-31,2018-03-30,profit_revision,317,33,0.10410094637223975,0.1769547694579496,0.17655321113971503,0.8230452305420504,0.06570581918687957,-0.7573394113551708,0.8887510497289299,NO_VIEW_UNCOVERED_HOLDINGS_CAN_REVERSE_SIGN,NOT_COMPUTED,4,"['601318.SH', '600036.SH', '000333.SZ', '000651.SZ', '600016.SH', '601328.SH']"
2017,2017-12-31,2018-03-30,reported_earnings_yield,317,52,0.1640378548895899,0.2759372564499151,0.2753110800491449,0.724062743550085,,,,NOT_APPLICABLE_REPORTED_PE_IS_NOT_A_DIRECTION_FORECAST,NOT_COMPUTED,6,"['601318.SH', '000333.SZ', '000651.SZ', '600016.SH']"
2020,2020-12-31,2021-04-30,eps_growth,336,85,0.25297619047619047,0.4147398000078251,0.40295770540620346,0.5852601999921747,0.4147398000078251,-0.1705203999843496,0.9999999999999998,NO_VIEW_UNCOVERED_HOLDINGS_CAN_REVERSE_SIGN,NOT_COMPUTED,6,"['601318.SH', '000333.SZ', '601166.SH', '000651.SZ']"
2020,2020-12-31,2021-04-30,profit_revision,336,69,0.20535714285714285,0.3367354102971121,0.3271692956879967,0.6632645897028877,-0.018670212758302867,-0.6819348024611905,0.6445943769445849,NO_VIEW_UNCOVERED_HOLDINGS_CAN_REVERSE_SIGN,NOT_COMPUTED,5,"['601318.SH', '600036.SH', '000333.SZ', '601166.SH', '000651.SZ']"
2020,2020-12-31,2021-04-30,reported_earnings_yield,336,80,0.23809523809523808,0.3670159574736278,0.3565896209340011,0.6329840425263722,,,,NOT_APPLICABLE_REPORTED_PE_IS_NOT_A_DIRECTION_FORECAST,NOT_COMPUTED,5,"['601318.SH', '600036.SH', '000333.SZ', '601166.SH', '000651.SZ']"
2024,2024-12-31,2025-04-30,eps_growth,337,187,0.5548961424332344,0.7390833930744447,0.7305020470949499,0.2609166069255554,0.7079475066971619,0.4470308997716065,0.9688641136227173,POSITIVE_EARNINGS_FACT_SIGN_ROBUST_TO_UNCOVERED_HOLDINGS,NOT_COMPUTED,10,[]
2024,2024-12-31,2025-04-30,profit_revision,337,161,0.47774480712166173,0.6306608713132096,0.6233383970387496,0.3693391286867905,0.018975788073620006,-0.3503633406131705,0.38831491676041047,NO_VIEW_UNCOVERED_HOLDINGS_CAN_REVERSE_SIGN,NOT_COMPUTED,7,"['000333.SZ', '601166.SH', '000858.SZ']"
2024,2024-12-31,2025-04-30,reported_earnings_yield,337,179,0.5311572700296736,0.6874313478246451,0.6794497231688745,0.3125686521753549,,,,NOT_APPLICABLE_REPORTED_PE_IS_NOT_A_DIRECTION_FORECAST,NOT_COMPUTED,9,['601318.SH']
