period,model,cost,year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,trade_count,partial_year
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2020,0.21595103799999935,0.21497303369249435,0.19912676081500513,0.09439492929749865,2.1095069650132334,-0.0271337762996936,243,24,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2021,0.10424925703299551,0.10379871666886252,0.10069235662425141,0.062307781819413544,1.616047846416484,-0.02784433425059671,243,26,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2022,-0.006509470454790622,-0.006509470454790622,-0.0059328940501344185,0.034676652711882805,-0.1710918899649552,-0.030465220120387687,242,26,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2023,0.004875312590688038,0.004875312590688038,0.004949561104910627,0.013160131657525614,0.3761027042674169,-0.010876062010746704,242,20,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2024,0.25830254559131793,0.25830254559131793,0.24122683287745314,0.15389025505653323,1.567525070309591,-0.062379006529427135,242,42,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2025,0.16018282157872069,0.1594736673041782,0.14908253455870082,0.04659901362054293,3.199263739200234,-0.007832870422692092,243,27,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2026,0.004191631211403674,0.0068167851534988695,0.010117354613296067,0.08181709593191079,0.12365819756931798,-0.06242147950698493,149,35,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2020,0.21032984759999945,0.2093794250608915,0.19450796424610065,0.09438965226464645,2.0606916073887627,-0.02799927448856231,243,24,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2021,0.0983608875184448,0.09793690730011223,0.0953766230906131,0.06248543053132279,1.5263817865958778,-0.03070877787092454,243,26,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2022,-0.010050717023320145,-0.010050717023320147,-0.009490497610421644,0.03505149686552679,-0.27075869674928393,-0.031659920722668634,242,29,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2023,0.002248880299261122,0.002248880299261122,0.002333342194849597,0.013228364859101099,0.17638931339607408,-0.011669255745538119,242,20,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2024,0.24798249264089256,0.24798249264089256,0.23295067841703754,0.15364551027200377,1.516156755928873,-0.06698699054878357,242,38,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2025,0.15171222944252,0.1510429628981539,0.1417537495249661,0.04601185390848754,3.080809345498196,-0.007842048648100352,243,25,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2026,-0.0006553890605065543,-0.0010642396644948877,0.0022741054989626076,0.08200094005551616,0.027732675959848706,-0.06343779322862375,149,34,True
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2020,0.21570302340000053,0.21472623828539503,0.19895902781175934,0.09478224814554834,2.099116993999091,-0.028272231978549407,243,14,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2021,0.10162556703566643,0.10118687704673139,0.09825749960568923,0.061229947047948055,1.6047294558126202,-0.027844889816056064,243,18,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2022,-0.006969501779535875,-0.006969501779535875,-0.006384247071982152,0.035018945467998386,-0.18230837584233694,-0.03135203081968419,242,21,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2023,0.005049049838956239,0.005049049838956239,0.00512262575816147,0.013174121639071747,0.38884002277380003,-0.010781973012102894,242,16,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2024,0.27529325673577026,0.27529325673577026,0.25555194131483383,0.1601653275532348,1.595550954871272,-0.060354305521335784,242,17,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2025,0.1618302394961589,0.16111329810604205,0.15050279922854537,0.04673535514608713,3.2203200073712517,-0.007840984589335354,243,17,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,2026,0.004100079869057633,0.006667706553157183,0.010051688320196725,0.08282246229125037,0.12136427778311316,-0.06404028297935177,149,16,True
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2020,0.2099714426000003,0.20902277504385688,0.19423536338265426,0.09463236873915933,2.052525641813283,-0.02901859812300207,243,14,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2021,0.09586430647549181,0.095451548364236,0.09304469000599969,0.061411276092932975,1.5151075816303872,-0.030666314801253643,243,18,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2022,-0.010490856153572547,-0.010490856153572547,-0.009922277900081045,0.03542235156306226,-0.2801134724897204,-0.03252041152000579,242,21,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2023,0.002380835826517562,0.002380835826517562,0.0024650591711256054,0.013233442382558745,0.18627497667383014,-0.01156122732040108,242,16,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2024,0.26552007548412,0.26552007548412,0.24784241459636924,0.16009241209460143,1.5481209343633027,-0.06499387566489702,242,17,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2025,0.15307700516144176,0.1524013291300856,0.14293691422768315,0.046079296590132324,3.1019769138206086,-0.007837023329243312,243,17,False
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,2026,-0.0007132854976484086,-0.00115823263383988,0.0022657505762511787,0.08304461551791972,0.027283533822397735,-0.06508596549013423,149,16,True
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2020,0.22459738420000003,0.2235767468915189,0.2063000349082882,0.09562298502154165,2.1574314466528475,-0.025915688646742405,243,33,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2021,0.10438132952856576,0.10393019195924495,0.10086512782647307,0.06316585681925083,1.5968298841429278,-0.030006069911697776,243,51,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2022,-0.008285198675134286,-0.008285198675134288,-0.007675729888512617,0.03598565440870673,-0.2132997166408477,-0.033004674935010525,242,39,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2023,0.003462047618742317,0.003462047618742317,0.003542595734618237,0.013195219774695425,0.2684756900686035,-0.011344898085475915,242,20,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2024,0.2566683636138839,0.2566683636138839,0.2398245879060689,0.1531261730436008,1.566189392311018,-0.06344268627210951,242,45,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2025,0.162052737428437,0.16133474358786276,0.15071120319334108,0.04712036466601929,3.1984303233125444,-0.007869249058601537,243,35,False
evaluation,SELECTED_MIX_BAND00_FULL,BASE,2026,0.005229399207696082,0.008507238721551215,0.012003797704788644,0.08434463231396984,0.14231845436357993,-0.06392646839364245,149,38,True
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,2020,0.21892778719999936,0.21793513360420344,0.20167264662275522,0.09560153129054123,2.109512723283216,-0.02673414665611638,243,30,False
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,2021,0.0984298522520387,0.09800556170770257,0.09549150982758225,0.06332094289401992,1.5080557152695298,-0.032986390865502,243,38,False
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,2022,-0.011929198477697585,-0.011929198477697585,-0.011344104361031948,0.036335919183710826,-0.3122008364141629,-0.03480592346666604,242,35,False
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,2023,0.0006656397145043218,0.0006656397145043218,0.0007522881452481922,0.013220489282822238,0.05690319996141609,-0.01226438603244934,242,21,False
