period,model,cost,excluded_year,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,remaining_days,diagnostic_only_not_executable,remaining_joint_point_pass
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2020,0.6161107819211378,0.08910146337991699,0.08842153664837474,0.07924973287733321,1.1157329297909195,-0.06242147950698487,1361,True,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2021,0.7795905863500883,0.10792286536385569,0.10599652578750271,0.08475195637122351,1.25066759902539,-0.06242147950698487,1361,True,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2022,0.9779872322482697,0.1288414653388993,0.12493779340427077,0.08743183911320583,1.4289736401690307,-0.06242147950698487,1362,True,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2023,0.9555775310408463,0.12655841166247436,0.1230042000507312,0.08847924922452514,1.3902039306255354,-0.06242147950698487,1362,True,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2024,0.5617162896833585,0.08242846751519775,0.08102248215869354,0.06048457778167503,1.339556050984634,-0.06242147950698487,1362,True,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2025,0.6937947591104372,0.09823134613770626,0.09735669240170461,0.08651968460484734,1.1252548231810142,-0.06242147950698487,1361,True,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,2026,0.9569089421999959,0.11813671172134899,0.11492922915402277,0.08172577098291225,1.406278922447277,-0.06237900652942724,1455,True,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2020,0.5653134992553908,0.0829343935757261,0.0827358962757427,0.07917358782909416,1.0449936467997158,-0.06698699054878354,1361,True,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2021,0.724884480619475,0.10178892055751597,0.10043532015581873,0.08465730408396227,1.1863751302097687,-0.06698699054878357,1361,True,False
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2022,0.9137805154050787,0.12224210884229118,0.11906438367460374,0.08733836621862935,1.3632540752658047,-0.06698699054878357,1362,True,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,2023,0.8902946027081684,0.119782634131576,0.1169635252070005,0.08841195054095399,1.322937956818642,-0.06698699054878357,1362,True,True
