period,model,cost,name,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,trade_count,commission,slippage_cost,historical_joint_point_pass
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,事前主方案：零门槛70／15／15,0.9651115827999963,0.10729708329520268,0.10519296400030193,0.08173213251028073,1.2870453855718271,-0.06242147950698487,1604,200,3380.98344,9257.799999999852,True
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,事前主方案：零门槛70／15／15,0.8945456489999986,0.10120448751752198,0.09966894647324706,0.08166935013843336,1.2203959784705467,-0.06698699054878357,1604,196,6078.0702,16122.300000000021,True
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,简单方案：十个百分点85／15,0.9885709394999997,0.10928141103691358,0.10712702953549315,0.08361158982998895,1.281246173566597,-0.06404028297935173,1604,119,3054.9121,9195.499999999853,True
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,简单方案：十个百分点85／15,0.9177938989999961,0.10323269641617325,0.1016543250414872,0.08357204596336451,1.2163675529261235,-0.06508596549013429,1604,119,5820.020200000001,15983.500000000018,True
evaluation,SELECTED_MIX_BAND00_FULL,BASE,数值首位：零门槛五来源,0.9756582919999985,0.10819165974313805,0.10604105647541683,0.08220440368807228,1.2899680761360868,-0.06392646839364245,1604,261,3671.7416,9597.19999999986,True
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,数值首位：零门槛五来源,0.9042491307999974,0.10205358794351801,0.10047948125248915,0.0821332203696939,1.2233719900451485,-0.06827273226503768,1604,242,6372.073840000001,16727.20000000003,True
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,BASE,事前主方案：零门槛70／15／15,0.6897997243999936,0.10976397035347016,0.10796185470463975,0.08716013185832769,1.2386609841311818,-0.05746426509583347,1219,135,2044.55512,5114.800000000072,True
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,STRESS,事前主方案：零门槛70／15／15,0.7026448843999986,0.11143362865961397,0.10950616835209961,0.08762965852973544,1.2496473247689401,-0.058347260797074044,1219,130,3636.4231200000004,9619.499999999978,True
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,简单方案：十个百分点85／15,0.6824897002000008,0.10880924148940174,0.10710090757848377,0.08716569677089439,1.2287047720158415,-0.05857641051979897,1219,66,1726.65996,4962.700000000081,True
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,简单方案：十个百分点85／15,0.6939932862000036,0.11031017905231985,0.10848462885650499,0.08752079128560766,1.239529799296327,-0.05975418626990414,1219,66,3333.94276,9326.099999999984,True
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,数值首位：零门槛五来源,0.6956176052999994,0.11052145440329086,0.10879232086449304,0.08884868998845874,1.2244673599422224,-0.05970392344608576,1219,147,2110.37894,5234.100000000072,True
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,数值首位：零门槛五来源,0.7079095135999987,0.1121150275724128,0.11026712372972282,0.08930901155552302,1.2346696241416828,-0.06103760408302648,1219,139,3709.79728,9847.999999999975,True
