period,model,cost,complete_cycles,winning_cycles,losing_cycles,total_net_profit,largest_cycle_net_profit,top_five_winning_profit,largest_cycle_share_of_net_profit,top_five_share_of_net_profit
evaluation,SELECTED_MIX_BAND00_SIMPLE3,BASE,43,24,19,193022.31655999995,76874.99536,161418.97901999985,0.39826998623811366,0.8362710690492808
evaluation,SELECTED_MIX_BAND00_SIMPLE3,STRESS,43,24,19,178909.12980000005,74698.70935999994,155581.34315999993,0.4175231831014133,0.8696109770022473
evaluation,SELECTED_MIX_BAND10_SIMPLE2,BASE,43,24,19,197714.18790000014,80993.90976000005,165283.35414000007,0.40965148035286747,0.8359711353825405
evaluation,SELECTED_MIX_BAND10_SIMPLE2,STRESS,43,24,19,183558.77980000002,78868.90592,159387.91155999998,0.42966566898043845,0.8683208274410199
evaluation,SELECTED_MIX_BAND00_FULL,BASE,43,25,18,195131.6584000002,76818.83664000004,162137.71545999995,0.3936769526271805,0.8309144543200366
evaluation,SELECTED_MIX_BAND00_FULL,STRESS,43,24,19,180849.82615999994,74579.11772,156373.3768399999,0.4123814730903804,0.864658706952002
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,BASE,24,17,7,137959.94487999997,42607.16775999997,118793.8330999999,0.308837233858425,0.8610748083679571
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,STRESS,24,16,8,140528.97687999991,42220.46615999999,126174.76592000006,0.3004395755051484,0.8978558637607021
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,24,17,7,136497.94003999984,42000.49389999996,116996.41063999996,0.3077005696034093,0.8571294966481905
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,24,16,8,138798.65724000038,41601.08135999999,123987.34444000002,0.29972250587458116,0.8932892212754643
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,24,17,7,139123.52105999994,42997.12102000001,121517.35066000001,0.3090571651177273,0.873449361647432
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,24,16,8,141581.9027199999,42627.31628000001,128855.79648000005,0.3010788487869252,0.9101148805354898
