period,model,cost,block_length,replications,sharpe_lower_2_5,sharpe_median,sharpe_upper_97_5,annual_lower_2_5,annual_median,annual_upper_97_5,defined_sharpe_count,indices_sha256
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,5,2000,0.39070499488060695,1.23004160644751,2.04135090945826,0.030553018078236557,0.10808043048736518,0.19451957171928766,2000,1ada1fdb61e485edc8a402a57a276110cf57edc29d35d7c5d3f2313fb2e03117
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,5,2000,0.38873284940421343,1.2406659128691964,2.0262254084241142,0.030032880936880436,0.10990714328452013,0.19561673064496685,2000,1ada1fdb61e485edc8a402a57a276110cf57edc29d35d7c5d3f2313fb2e03117
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,5,2000,0.3908705545621117,1.2270838141238989,2.0188723950178398,0.030584633042865628,0.10971709621382472,0.1964470503180436,2000,1ada1fdb61e485edc8a402a57a276110cf57edc29d35d7c5d3f2313fb2e03117
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,5,2000,0.3893396950394593,1.2351112835539904,2.030033114848408,0.030360110841155828,0.1115876828386714,0.2008045183287609,2000,1ada1fdb61e485edc8a402a57a276110cf57edc29d35d7c5d3f2313fb2e03117
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,BASE,20,2000,0.32469183931246826,1.2395873934613366,2.135826699504787,0.023565312786293077,0.10847766676915935,0.21612346190206996,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,STRESS,20,2000,0.3386050067353653,1.2554278403594437,2.140091878291973,0.02355846510813981,0.1108083730461023,0.21747085964333282,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,20,2000,0.30979940221598745,1.2315849375458394,2.1251724880418967,0.022847825950189495,0.10727473172513166,0.21370090869436645,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,20,2000,0.3248333855490274,1.247986895836056,2.1146560859389774,0.023390457774332536,0.10974563699231302,0.2142530479798835,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,20,2000,0.3104388089744983,1.2299000948954353,2.1115801664560676,0.02323019216888245,0.10915531940424908,0.21775426980504273,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,20,2000,0.3295650366723882,1.2426745470734557,2.1142298647658357,0.022548907387618413,0.11132978165081699,0.2175467143090696,2000,de758634193664c10a99ebef92ee5eb960d8db54a5f4831e5954cf5eb8f1ee37
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,BASE,60,2000,0.38643380580699477,1.2153751997657982,2.0323078880742553,0.02605700724730046,0.10616543472174639,0.21539063520683788,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
earlier_diagnostic,SELECTED_MIX_BAND00_SIMPLE3,STRESS,60,2000,0.35510712183377174,1.2331567406808173,2.0629526824203457,0.024619775780922476,0.10866885424920239,0.21932564059838458,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,BASE,60,2000,0.38620766488507785,1.2079536403696545,2.023500967757025,0.025643426006197605,0.10527274851680066,0.21261622830310084,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
earlier_diagnostic,SELECTED_MIX_BAND10_SIMPLE2,STRESS,60,2000,0.3528262929392626,1.2269697830803457,2.0482287832885344,0.02460911142182507,0.10721596652354859,0.21607437129912488,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,BASE,60,2000,0.3706830930512849,1.2066744848036248,2.0191351750412863,0.02518098234302476,0.10668198116377951,0.21747354166667915,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
earlier_diagnostic,SELECTED_MIX_BAND00_FULL,STRESS,60,2000,0.33952189490675533,1.2242083154248005,2.0463091040416663,0.02355239249377782,0.10953613620106925,0.2222760832283989,2000,c8d232d7f161ebcae8587c69794eb3c9dcd879dab3f5a23757c5bcb130681c99
