path,bytes,sha256
00_README_FIRST.md,2549,6db070388d9df0eb77bf2e7f145ee3358a69430178b23305d4ca8b754a623815
01_GPT_REVIEW_PROMPT.md,2694,b679969d04ee19df427f2bc36733c0406051e7ead44a4208950eecec2c5a86d0
02_论证核实与研究判断.md,9269,a176f00ea1dc656f0c140890f71c030513cd1af68f0c8387786fc2b03ef87388
03_下一步研究方案_待执行.md,6795,edcc470397e1d9177ed86e20ba31e397cef08e985f5bc3aff777723a11156bcb
04_来源与证据说明.md,3854,73164819412c6778acec2147fee13056e7c719bd8441bf9781316a8c79a11863
05_说明性算术.json,3210,f36aad07e3a95299a98b7362d5eb1156157a127a064a107f5f5d8e7fbac49be7
06_本轮状态.json,2536,6f08192126efeddd2a285b08d4d1c5de414fe378ce41f04c6b940fe8fffc9b4c
07_证据映射.csv,9743,788bcf1ba2fba14db04abfe34a6a4d949f7e5ba0a252315ed77b0ff4f9b0d935
08_包含与排除说明.json,706,83c6ec22ba5a5623dce97c18a02f1e598f6d050028641d3c47640ee232cc7c00
code/build_510300_price_concession_review_20260907.py,16201,ac98ee620f93f08d87e72b87a105793e0b109952bbe79cbb19fa9785f6dba8df
code/capture_510300_price_concession_rule_sources_20260907.py,3869,e8f091f61ba62d8f2c89a763150d307223fc176b8118358bce1151291d1e5b1b
context/config/510300_anchored_sparse_mean_reversion_grid_v1.yaml,8772,fd63a11bdc0c2196f7868bd18379d371ff913d0d88a4698d8d5830c4f883f3eb
context/config/510300_anchored_sparse_mean_reversion_grid_v1_manifest.json,3672,e4f07934c10d65fc01bc44827ef37a1900b981d3f85d9d165f8453d2a52c1bd1
context/config/510300_episodic_alpha_library_v1.yaml,13090,df8aaccbb161f66c38830013662190cda14d84d97ec876be4a0b2fe41dd28c17
context/config/510300_post_close_stale_price_capture_v2.yaml,9184,3737a12f02ffd5130b58698a67ed0c12fe1c68044ba555f7ddd5bb462081b1fa
context/config/510300_post_close_stale_price_capture_v2_manifest.json,3576,0aee582255d2618122550325855e116dc9a88efb0fbe249c0ff0409d3becd00a
context/config/510300_post_close_stale_price_capture_v2_source_receipt.json,2914,1d76d2a90bd8b92acdff9ec1ef8f6d9b3c0a13732db0ecc670f94db6b0b57737
context/config/510300_research_authority_v6.json,4410,8bd7b6c0160d5e2f942627789cb720bdcce556ce03215e2582c91b312bdc5651
context/data/reference/sse_trade_calendar_2026.csv,30510,1683446371fd20e3899222382d28da2fb8f2195654587649cc42648613960b62
context/data/reference/sse_trade_calendar_2026.metadata.json,1354,652bbf345e570f9199dad2b0a12c3d5c993f902bb496246bda1fccca445d4dbb
context/docs/510300_EPISODIC_ALPHA_LIBRARY_V1_SPEC.md,6911,947e80ecd6cd1f132277435dea6f23ae68ffaf85bb23f9198944c0e96cb33d30
