period,model,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,both_parent_positive_origins,only_reference_positive_origins,only_runs_positive_origins,both_parent_zero_origins,full_weight_origins,mean_target
evaluation,RUNS_OPPORTUNITY_MAX,BASE,1604,445,1159,0,11,301,133,1159,34,0.12664886887362797
evaluation,RUNS_OPPORTUNITY_CAPPED_SUM,BASE,1604,445,1159,0,11,301,133,1159,38,0.12816390246649909
evaluation,RUNS_OPPORTUNITY_MAX,STRESS,1604,445,1159,0,11,301,133,1159,34,0.12664886887362797
evaluation,RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,1604,445,1159,0,11,301,133,1159,38,0.12816390246649909
earlier_diagnostic,RUNS_OPPORTUNITY_MAX,BASE,1219,449,770,0,49,253,147,770,35,0.20411274551982714
earlier_diagnostic,RUNS_OPPORTUNITY_CAPPED_SUM,BASE,1219,449,770,0,49,253,147,770,39,0.21997781726502372
earlier_diagnostic,RUNS_OPPORTUNITY_MAX,STRESS,1219,455,764,0,49,259,147,764,35,0.20824623216551172
earlier_diagnostic,RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,1219,455,764,0,49,259,147,764,39,0.22411130391070833
