period,cost,model,all_factor_rows,decision_origins,combined_target_max_error,saved_parent_close_targets_checked,parent_fee_dates_and_next_open_aligned,independent_maximum_or_capped_sum_and_unknown_equal
evaluation,BASE,RUNS_OPPORTUNITY_MAX,3456,1604,0.0,3208,True,True
evaluation,STRESS,RUNS_OPPORTUNITY_MAX,3456,1604,0.0,3208,True,True
earlier_diagnostic,BASE,RUNS_OPPORTUNITY_MAX,1852,1219,0.0,2438,True,True
earlier_diagnostic,STRESS,RUNS_OPPORTUNITY_MAX,1852,1219,0.0,2438,True,True
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,3456,1604,0.0,3208,True,True
evaluation,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,3456,1604,0.0,3208,True,True
earlier_diagnostic,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,1852,1219,0.0,2438,True,True
earlier_diagnostic,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,1852,1219,0.0,2438,True,True
