period,cost,model,actual_fills_checked
evaluation,BASE,RUNS_OPPORTUNITY_MAX,91
evaluation,STRESS,RUNS_OPPORTUNITY_MAX,91
earlier_diagnostic,BASE,RUNS_OPPORTUNITY_MAX,59
earlier_diagnostic,STRESS,RUNS_OPPORTUNITY_MAX,59
evaluation,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,93
evaluation,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,93
earlier_diagnostic,BASE,RUNS_OPPORTUNITY_CAPPED_SUM,64
earlier_diagnostic,STRESS,RUNS_OPPORTUNITY_CAPPED_SUM,64
