round,study,model,net_sharpe,net_cagr,same_shares_friction_added_back_sharpe,same_shares_friction_added_back_cagr,commission,slippage,total_friction_fraction_initial_capital,mean_exposure,held_days,complete_account_days,under_1_2_even_when_same_friction_removed
1,条件切换与滚动回归,P1_PRIMARY_TOP3_504,-0.2485620245478934,-0.03253054208433821,-0.19963687970645044,-0.026759978843581594,1592.99348,4865.0000000001,0.03228996740000051,0.3842394276337546,1078,1604,True
1,条件切换与滚动回归,P2_TOP1_504,-0.15711879930967454,-0.024955666076206407,-0.1004493752515241,-0.01790407071898239,2036.35616,6238.900000000167,0.04137628080000083,0.3768536090688514,683,1604,True
1,条件切换与滚动回归,P3_TOP3_252,-0.5025521950806643,-0.05123201866437724,-0.44153312328797206,-0.04438009982989542,1715.3754600000002,5179.400000000035,0.03447387730000018,0.3358129663525474,993,1604,True
1,条件切换与滚动回归,P4_EQUAL_ALL,0.055115783088537124,0.0007038439386667714,0.076454053584891,0.0027480795887623198,691.7205000000001,2044.600000000015,0.013681602500000074,0.45531019707795084,1603,1604,True
2,涨跌分类与幅度加权,C1_WEIGHTED_CONSENSUS,0.060388387636831735,-0.001054652858170552,0.10890541326609686,0.0056093780915454005,2262.52624,6685.7000000000835,0.044741131200000415,0.49159556840175306,793,1604,True
3,免费全球盘后信息,D1_PRIMARY_EXTERNAL_H1,0.36299434733834907,0.04423708184319297,0.6109792337587885,0.07649464693592097,14673.287380000002,44859.199999999895,0.2976624368999995,0.6846058899998442,1102,1604,True
4,央行操作量与资金压力,Q1_PRIMARY_FULL_H20,-0.22641893307749542,-0.027710307216967118,-0.1988199934286644,-0.024738597426083708,857.7506000000001,2534.4000000000387,0.016960753000000193,0.40269491902776183,783,1604,True
5,直接学习风险收益与换仓成本,U1_PRIMARY_FULL_SHARPE,0.17613365299434852,0.009191966400100322,0.20709422969584426,0.011116341360960083,684.8535999999999,2015.3999999999637,0.013501267999999818,0.2950418965478866,1603,1604,True
6,事先可知的日历条件,K1_PRIMARY_MONTH_START3,0.23885952763520418,0.01463366841027158,0.5520186762179699,0.03563595300739518,7925.40856,24104.799999999886,0.16015104279999945,0.1485804262057123,239,1604,True
7,全期限逆回购与因子口径修正,T1_PRIMARY_ALL,-0.18085558411882116,-0.019908458399894614,-0.16343382274205145,-0.018274246337955324,474.2293,1469.399999999972,0.00971814649999986,0.32665569921613413,643,1604,True
8,原始财报盈利改善广度,F1_PRIMARY_FULL_H60,0.09128629302687859,0.0031480998668649545,0.09675230368124528,0.0033982553876398683,80.96646,256.80000000000024,0.001688832300000001,0.0667068350042898,163,1604,True
