selection_origin,evaluation_end,next_period_days,selected,past_sharpe_future_mean_rank_correlation,selected_next_period_mean_ann,all_candidates_next_period_mean_ann,selected_minus_all_mean_ann
2020-01-02,2020-04-01,58,R11_REGIME|R02_SMA120|R06_MOM120,-0.40434782608695646,-0.5999821807715858,-0.3718788226129403,-0.22810335815864552
2020-04-01,2020-07-01,59,R11_REGIME|M_HGB_H20_ROLL756|M_HGB_H5_ROLL756,0.19391304347826085,0.25176156123962495,0.21329916558032558,0.038462395659299375
2020-07-01,2020-10-09,66,M_HGB_H5_ROLL756|R11_REGIME|M_HGB_H20_ROLL756,0.5269565217391303,0.3233474290464435,0.27717920910174537,0.04616821994469811
2020-10-09,2021-01-04,60,M_HGB_H5_ROLL756|M_HGB_H20_ROLL756|R11_REGIME,-0.11263318378895401,0.07344344770942736,0.24618651044420883,-0.17274306273478146
2021-01-04,2021-04-01,58,M_HGB_H20_ROLL756|M_HGB_H5_ROLL756|M_RIDGE_H20_ROLL756,-0.04608695652173912,0.08734561778759876,-0.01623587848178235,0.10358149626938111
2021-04-01,2021-07-01,60,M_HGB_H5_ROLL756|M_HGB_H20_ROLL756|M_RIDGE_H20_ROLL756,0.2645779940244115,0.029147003461657012,0.019061279087886112,0.0100857243737709
2021-07-01,2021-10-08,64,M_HGB_H5_ROLL756|M_HGB_H20_ROLL756|M_RIDGE_H20_EXPANDING,0.18956521739130433,-0.11776718690574206,-0.14541742066785535,0.027650233762113285
2021-10-08,2022-01-04,61,M_HGB_H5_ROLL756|M_RIDGE_H20_EXPANDING|M_RIDGE_H20_ROLL756,0.4660869565217391,-0.009310884016930164,-0.08016933430614746,0.0708584502892173
2022-01-04,2022-04-01,58,M_HGB_H5_ROLL756|M_RIDGE_H20_EXPANDING|M_RIDGE_H20_ROLL756,-0.6105675291107777,-0.537963661414688,-0.31101857953418777,-0.22694508188050022
2022-04-01,2022-07-01,59,M_RIDGE_H20_EXPANDING|R08_BREAKOUT|M_HGB_H5_ROLL756,0.29242830918487583,0.07599710508767497,0.06163736959957733,0.014359735488097644
2022-07-01,2022-10-10,65,R08_BREAKOUT|M_RIDGE_H20_EXPANDING|R03_SMA200,0.1609045482699343,-0.22696733306393305,-0.2999778333428856,0.07301050027895253
2022-10-10,2023-01-03,60,R03_SMA200|R08_BREAKOUT|R06_MOM120,-0.04468915578723238,0.0,0.02833510117522202,-0.02833510117522202
2023-01-03,2023-04-03,59,R08_BREAKOUT,-0.27652173913043476,0.0257611687107591,0.05723514786620998,-0.03147397915545088
2023-04-03,2023-07-03,59,R10_RSI2_TREND,0.044357470063603514,-0.06553317435752874,-0.12501711216869646,0.05948393781116772
2023-07-03,2023-10-09,64,,0.14273286519737988,,-0.08209595321906714,
2023-10-09,2024-01-02,60,,-0.15929855917138108,,-0.13738941075149888,
2024-01-02,2024-04-01,58,,0.17983624983312388,,0.07660806070521722,
2024-04-01,2024-07-01,59,R01_SMA60|R10_RSI2_TREND,-0.1041396807016396,-0.04503197641121971,-0.0763825649389923,0.03135058852777259
2024-07-01,2024-10-08,64,M_RIDGE_H20_ROLL756|R01_SMA60|R11_REGIME,0.02322083585022859,0.4730648729280733,0.44858680928850125,0.024478063639572056
2024-10-08,2025-01-02,61,R01_SMA60|R11_REGIME|R07_TREND_VOTE,-0.7423651567351482,-0.4375246780351782,-0.23118095045002862,-0.20634372758514957
2025-01-02,2025-04-01,57,M_RIDGE_H20_ROLL756|R01_SMA60|M_RIDGE_H5_EXPANDING,-0.009150348513533189,-0.014451571167368364,0.009012026188423705,-0.02346359735579207
2025-04-01,2025-07-01,60,M_RIDGE_H5_EXPANDING|R09_RSI2|R10_RSI2_TREND,-0.2610967046293534,-0.12411162964605116,-0.01040901257759457,-0.1137026170684566
2025-07-01,2025-10-09,66,M_RIDGE_H5_EXPANDING|R01_SMA60|M_HGB_H20_ROLL756,-0.11122282088324138,0.34538638130763966,0.41883234873295744,-0.07344596742531778
2025-10-09,2026-01-05,60,R12_RISK_TREND|R01_SMA60|R04_MOM20,-0.1981714911005072,-0.13757422785944037,-0.029532921967277567,-0.1080413058921628
2026-01-05,2026-04-01,56,R12_RISK_TREND|M_ET_H5_EXPANDING|R01_SMA60,-0.23221343873517786,-0.13893203280724678,-0.13859751340342266,-0.0003345194038241184
2026-04-01,2026-07-01,60,M_RIDGE_H5_EXPANDING|M_ET_H5_EXPANDING|R12_RISK_TREND,-0.21391304347826084,0.1758706222933805,0.23512133299550983,-0.05925071070212934
2026-07-01,2026-08-14,32,M_ET_H5_EXPANDING|M_ET_H5_ROLL756|R12_RISK_TREND,-0.03261578681147317,-0.31449596840907273,-0.30502144507485635,-0.00947452333421639
