selection_origin,model,selected,past_504_sharpe,next_period_mean_ann
2020-01-02,R01_SMA60,False,-0.07031906979414276,-0.8800171140938419
2020-01-02,R02_SMA120,True,0.5964255460546869,-0.7974898197737416
2020-01-02,R03_SMA200,False,0.5309152686713126,-0.617931321087837
2020-01-02,R04_MOM20,False,0.18173774538124782,-0.8146617014905705
2020-01-02,R05_MOM60,False,0.36656214212293936,-0.5999154733687854
2020-01-02,R06_MOM120,True,0.5651348987080707,-0.4881294723279673
2020-01-02,R07_TREND_VOTE,False,0.19599476193210894,-0.7004140757728742
2020-01-02,R08_BREAKOUT,False,0.4507842679046869,-0.5176974802113313
2020-01-02,R09_RSI2,False,-0.17579956041645503,-0.061126886157339445
2020-01-02,R10_RSI2_TREND,False,-0.20452350355958904,-0.6296411472379104
2020-01-02,R11_REGIME,True,0.7484363776278231,-0.5143272502130485
2020-01-02,R12_RISK_TREND,False,0.34627738185646756,-0.5619643048498929
2020-01-02,M_RIDGE_H5_EXPANDING,False,-0.1288447060774357,-0.20314665907423954
2020-01-02,M_RIDGE_H5_ROLL756,False,-0.3793291882852188,0.14496135839286092
2020-01-02,M_RIDGE_H20_EXPANDING,False,0.0677359300986846,-0.28360955107184255
2020-01-02,M_RIDGE_H20_ROLL756,False,-0.3617151667113449,0.0008279310368598947
2020-01-02,M_HGB_H5_EXPANDING,False,0.1247629199740185,-0.43354973562704785
2020-01-02,M_HGB_H5_ROLL756,False,0.3402098305868582,0.31936184892396874
2020-01-02,M_HGB_H20_EXPANDING,False,-0.23335148270934822,-0.27303815811056936
2020-01-02,M_HGB_H20_ROLL756,False,0.3438640692227143,0.10828210632537001
2020-01-02,M_ET_H5_EXPANDING,False,-0.029678970724636256,-0.27265322684073573
2020-01-02,M_ET_H5_ROLL756,False,0.1405936974404669,-0.20272187086809915
2020-01-02,M_ET_H20_EXPANDING,False,-0.023879906458484777,-0.3739334041157544
2020-01-02,M_ET_H20_ROLL756,False,0.02032067028645796,-0.2725563350961977
2020-04-01,R01_SMA60,False,-0.544366699969634,0.35501024739836584
2020-04-01,R02_SMA120,False,0.07122209194401205,0.21558072379737467
2020-04-01,R03_SMA200,False,0.044506724915735575,0.24347328153673797
2020-04-01,R04_MOM20,False,-0.585067769258609,0.4430861961720289
2020-04-01,R05_MOM60,False,-0.16233899117692246,0.3093953003243125
2020-04-01,R06_MOM120,False,0.10363761376553365,0.21940260058723138
2020-04-01,R07_TREND_VOTE,False,-0.2889075423233227,0.30635355682531684
2020-04-01,R08_BREAKOUT,False,-0.008276601441270924,0.22315217884299648
2020-04-01,R09_RSI2,False,-0.04770957075704217,0.102537265978801
2020-04-01,R10_RSI2_TREND,False,-0.47173762681125664,-0.013135946585180818
2020-04-01,R11_REGIME,True,0.43608515467170456,0.397416344447951
2020-04-01,R12_RISK_TREND,False,-0.1507130655413773,0.26006408757883953
2020-04-01,M_RIDGE_H5_EXPANDING,False,-0.3236253800415965,0.11451597119467438
2020-04-01,M_RIDGE_H5_ROLL756,False,-0.23048569383724243,0.06958204681587916
2020-04-01,M_RIDGE_H20_EXPANDING,False,-0.18226396211341248,0.5292076451172002
2020-04-01,M_RIDGE_H20_ROLL756,False,-0.5035714032442936,0.0
2020-04-01,M_HGB_H5_EXPANDING,False,-0.37147925811220905,0.20717620268569278
2020-04-01,M_HGB_H5_ROLL756,True,0.37433021011081913,0.24074150152907806
2020-04-01,M_HGB_H20_EXPANDING,False,-0.3806220303229835,0.036598541667854874
2020-04-01,M_HGB_H20_ROLL756,True,0.4320605768943852,0.11712683774184585
2020-04-01,M_ET_H5_EXPANDING,False,-0.2727673247167953,0.31964164619943386
2020-04-01,M_ET_H5_ROLL756,False,-0.14433340640139497,0.14137851789859887
2020-04-01,M_ET_H20_EXPANDING,False,-0.2964251767912932,0.19753606669476814
2020-04-01,M_ET_H20_ROLL756,False,-0.29924261920035405,0.08333915947801179
2020-07-01,R01_SMA60,False,-0.21177126186702994,0.2600856070260367
2020-07-01,R02_SMA120,False,0.2733247170489976,0.41586036738327903
2020-07-01,R03_SMA200,False,0.35179861924405276,0.4162631347597443
2020-07-01,R04_MOM20,False,0.001093874294714198,0.36351228095204136
2020-07-01,R05_MOM60,False,0.17168426420633467,0.35864710371267505
2020-07-01,R06_MOM120,False,0.44396272031214484,0.41556711117080664
2020-07-01,R07_TREND_VOTE,False,0.02993939390951164,0.2239681481486726
2020-07-01,R08_BREAKOUT,False,0.1937874702933836,0.36683903752606123
2020-07-01,R09_RSI2,False,0.1009693095562609,0.03539649723244476
2020-07-01,R10_RSI2_TREND,False,-0.2990096662474441,0.10999967518026994
2020-07-01,R11_REGIME,True,0.6317423838532975,0.45431167692557034
2020-07-01,R12_RISK_TREND,False,0.1903346438613984,0.2676263518969481
2020-07-01,M_RIDGE_H5_EXPANDING,False,-0.2146468042185146,0.36478634564714024
2020-07-01,M_RIDGE_H5_ROLL756,False,-0.1336113052610233,0.05137801956983453
2020-07-01,M_RIDGE_H20_EXPANDING,False,0.14757399904554255,0.4652742813285059
2020-07-01,M_RIDGE_H20_ROLL756,False,-0.6117423333761688,0.05140485223782983
2020-07-01,M_HGB_H5_EXPANDING,False,-0.10467461801764585,0.5525917813984316
2020-07-01,M_HGB_H5_ROLL756,True,0.6673664122720728,0.5028848990451454
2020-07-01,M_HGB_H20_EXPANDING,False,-0.3579264226131037,0.030504946403884275
2020-07-01,M_HGB_H20_ROLL756,True,0.5719820223784189,0.01284571116861466
2020-07-01,M_ET_H5_EXPANDING,False,0.10400532120141362,0.33095620472850457
2020-07-01,M_ET_H5_ROLL756,False,0.24291072141917572,0.4509602531372809
2020-07-01,M_ET_H20_EXPANDING,False,-0.07457262880521977,0.15063673186216678
2020-07-01,M_ET_H20_ROLL756,False,-0.12758682633370455,0.0
2020-10-09,R01_SMA60,False,0.008180181307612736,0.2920933642444684
2020-10-09,R02_SMA120,False,0.5261846469947681,0.4885012736135866
2020-10-09,R03_SMA200,False,0.5897070173146277,0.4889031708667607
2020-10-09,R04_MOM20,False,0.46774629474324136,0.22925647644185593
2020-10-09,R05_MOM60,False,0.3993905232298791,0.358655943657202
2020-10-09,R06_MOM120,False,0.6713032936485103,0.488208582489601
2020-10-09,R07_TREND_VOTE,False,0.28030457856615115,0.34494432669592906
2020-10-09,R08_BREAKOUT,False,0.4591654697441931,0.29848967796347786
2020-10-09,R09_RSI2,False,0.5420971037747757,0.0003804732417760508
2020-10-09,R10_RSI2_TREND,False,-0.15717280636210462,0.0004500686236301695
2020-10-09,R11_REGIME,True,1.0350289208356331,0.06508045969947027
2020-10-09,R12_RISK_TREND,False,0.509906989388061,0.3214744951846127
2020-10-09,M_RIDGE_H5_EXPANDING,False,0.5795320122416255,0.19708597316218013
2020-10-09,M_RIDGE_H5_ROLL756,False,0.6541536473503489,0.1250314787840034
2020-10-09,M_RIDGE_H20_EXPANDING,False,0.7600535330545493,0.3561826976633777
2020-10-09,M_RIDGE_H20_ROLL756,False,0.05793727594230399,0.2751797014677146
2020-10-09,M_HGB_H5_EXPANDING,False,0.22196213853725383,0.4759503276346595
2020-10-09,M_HGB_H5_ROLL756,True,1.3893930975921658,0.1330136501735958
2020-10-09,M_HGB_H20_EXPANDING,False,-0.14683552507342348,0.20810450957477766
2020-10-09,M_HGB_H20_ROLL756,True,1.318721506690632,0.022236233255216037
2020-10-09,M_ET_H5_EXPANDING,False,0.5580597789949377,0.2998194633996187
2020-10-09,M_ET_H5_ROLL756,False,0.846716612269951,0.0
2020-10-09,M_ET_H20_EXPANDING,False,0.3680316217485009,0.439433902823499
2020-10-09,M_ET_H20_ROLL756,False,0.24248190059937533,0.0
2021-01-04,R01_SMA60,False,0.43196466704481146,-0.028597754989432136
2021-01-04,R02_SMA120,False,0.807398072874822,-0.3463768907133597
2021-01-04,R03_SMA200,False,0.864137946690296,-0.08805264462170367
2021-01-04,R04_MOM20,False,0.895608010453295,0.10690010038259143
2021-01-04,R05_MOM60,False,0.7636973471301931,-0.3325525095872934
2021-01-04,R06_MOM120,False,0.9466961065942775,-0.087974190236786
2021-01-04,R07_TREND_VOTE,False,0.7132363648566519,-0.12116104569189054
2021-01-04,R08_BREAKOUT,False,0.6600991507082437,0.10652678898690716
2021-01-04,R09_RSI2,False,0.39809882565718824,0.01658937993751505
2021-01-04,R10_RSI2_TREND,False,-0.15391893552601096,0.09477338332919427
2021-01-04,R11_REGIME,False,0.6576370930590987,-0.16454144901120393
2021-01-04,R12_RISK_TREND,False,0.9199919820016845,-0.04563511710820305
2021-01-04,M_RIDGE_H5_EXPANDING,False,0.6404829791356349,0.07135573117199738
2021-01-04,M_RIDGE_H5_ROLL756,False,0.8541155110837131,0.025421209241290373
2021-01-04,M_RIDGE_H20_EXPANDING,False,1.1027975353590822,0.039512093387934065
2021-01-04,M_RIDGE_H20_ROLL756,True,1.1136716933782191,0.0
2021-01-04,M_HGB_H5_EXPANDING,False,0.5510902191510593,-0.1263434204246145
2021-01-04,M_HGB_H5_ROLL756,True,1.4227866452275175,0.2741560256520726
2021-01-04,M_HGB_H20_EXPANDING,False,0.14278228511817,0.12890048775977478
2021-01-04,M_HGB_H20_ROLL756,True,1.4433975270005486,-0.012119172289276278
2021-01-04,M_ET_H5_EXPANDING,False,0.7592479668361091,-0.07374916076369203
2021-01-04,M_ET_H5_ROLL756,False,0.8467166122699509,0.09463772850711605
2021-01-04,M_ET_H20_EXPANDING,False,0.744188320335786,0.06800468106114803
2021-01-04,M_ET_H20_ROLL756,False,0.24248190059937533,0.010664662457137626
2021-04-01,R01_SMA60,False,-0.0006229394140201295,-0.003402589597234721
2021-04-01,R02_SMA120,False,0.19959229210157226,-0.2491892703005835
2021-04-01,R03_SMA200,False,0.5675730483580761,0.11960329789600865
2021-04-01,R04_MOM20,False,0.47551995413138004,0.02525216021424264
2021-04-01,R05_MOM60,False,0.1286158055456606,-0.04803028295418113
2021-04-01,R06_MOM120,False,0.6351230203151503,0.11943037443359672
2021-04-01,R07_TREND_VOTE,False,0.14394717558675868,-0.09356385748530663
2021-04-01,R08_BREAKOUT,False,0.31837100564083176,0.0
2021-04-01,R09_RSI2,False,0.284428113787138,-0.14999450718797813
2021-04-01,R10_RSI2_TREND,False,-0.150802051285989,-0.012565495264223021
2021-04-01,R11_REGIME,False,0.019385296947285212,0.006898089259919733
2021-04-01,R12_RISK_TREND,False,0.3448110697009528,-0.08297141721325746
2021-04-01,M_RIDGE_H5_EXPANDING,False,0.024006957287205172,0.32435672626989565
2021-04-01,M_RIDGE_H5_ROLL756,False,0.8483116187653076,0.0
2021-04-01,M_RIDGE_H20_EXPANDING,False,0.6266022352477456,0.12959716713040348
2021-04-01,M_RIDGE_H20_ROLL756,True,1.209503034749051,0.0
2021-04-01,M_HGB_H5_EXPANDING,False,0.3082989092530624,0.07048893653685515
2021-04-01,M_HGB_H5_ROLL756,True,1.4216930204537113,0.12481602499635998
2021-04-01,M_HGB_H20_EXPANDING,False,0.09582867633595242,0.05383456725817384
2021-04-01,M_HGB_H20_ROLL756,True,1.316933985871322,-0.03737501461138894
2021-04-01,M_ET_H5_EXPANDING,False,0.4589938462338975,0.04192256012583524
2021-04-01,M_ET_H5_ROLL756,False,0.8405473291845963,0.04592997107281298
2021-04-01,M_ET_H20_EXPANDING,False,0.46020435346252764,0.023949274403123944
2021-04-01,M_ET_H20_ROLL756,False,0.2563169293508216,0.04848398312619227
2021-07-01,R01_SMA60,False,0.06081001645512462,-0.41201899543637066
2021-07-01,R02_SMA120,False,0.1744421029143645,-0.10441784561559442
2021-07-01,R03_SMA200,False,0.7900356242569487,-0.19814469847513558
2021-07-01,R04_MOM20,False,0.49350896892766416,-0.18155039004504914
2021-07-01,R05_MOM60,False,0.2402404826696087,-0.20897016940290714
2021-07-01,R06_MOM120,False,0.8669322864347996,-0.22933050546372796
2021-07-01,R07_TREND_VOTE,False,0.15837032682228627,-0.3024960747440777
2021-07-01,R08_BREAKOUT,False,0.4346675864084794,0.0
2021-07-01,R09_RSI2,False,0.06598309082558826,-0.03602514732025305
2021-07-01,R10_RSI2_TREND,False,-0.23736002307166978,-0.14551129547599753
2021-07-01,R11_REGIME,False,0.5230974438784359,0.3391478322062344
2021-07-01,R12_RISK_TREND,False,0.3311200977026551,-0.2819653759352846
2021-07-01,M_RIDGE_H5_EXPANDING,False,0.8564781604616208,-0.04813463937247901
2021-07-01,M_RIDGE_H5_ROLL756,False,0.967627239229487,-0.1848469021848576
2021-07-01,M_RIDGE_H20_EXPANDING,True,1.2224882438712876,0.0438017496873636
2021-07-01,M_RIDGE_H20_ROLL756,False,1.209503034749051,0.04326102208061677
2021-07-01,M_HGB_H5_EXPANDING,False,0.7625453819979048,-0.25899526379533755
2021-07-01,M_HGB_H5_ROLL756,True,1.6777195803728704,-0.18180334683369376
2021-07-01,M_HGB_H20_EXPANDING,False,0.5555731982636283,-0.25916230439048493
2021-07-01,M_HGB_H20_ROLL756,True,1.2860203830993988,-0.21529996357089606
2021-07-01,M_ET_H5_EXPANDING,False,0.7539643099160321,-0.1110007835922887
2021-07-01,M_ET_H5_ROLL756,False,0.9153440736782197,-0.14889765653067263
2021-07-01,M_ET_H20_EXPANDING,False,0.7051752258206305,-0.20309241872118206
2021-07-01,M_ET_H20_ROLL756,False,0.29818966006520925,-0.20456492309645263
2021-10-08,R01_SMA60,False,-0.1916024674434414,-0.422886355750689
2021-10-08,R02_SMA120,False,-0.03408566387102603,-0.20190460313609782
2021-10-08,R03_SMA200,False,0.4263729511603412,-0.10213764160050583
2021-10-08,R04_MOM20,False,0.1803976471963188,-0.2787251654637023
