,R01_SMA60,R02_SMA120,R03_SMA200,R04_MOM20,R05_MOM60,R06_MOM120,R07_TREND_VOTE,R08_BREAKOUT,R09_RSI2,R10_RSI2_TREND,R11_REGIME,R12_RISK_TREND,M_RIDGE_H5_EXPANDING,M_RIDGE_H5_ROLL756,M_RIDGE_H20_EXPANDING,M_RIDGE_H20_ROLL756,M_HGB_H5_EXPANDING,M_HGB_H5_ROLL756,M_HGB_H20_EXPANDING,M_HGB_H20_ROLL756,M_ET_H5_EXPANDING,M_ET_H5_ROLL756,M_ET_H20_EXPANDING,M_ET_H20_ROLL756
R01_SMA60,1.0,0.8899984728144256,0.8429954429836024,0.8878384067989429,0.8781553088577616,0.8173924801180331,0.9665122582789138,0.8495732299920704,0.2869916470187447,0.4595925060029962,0.6208068309065288,0.947471421755733,0.4995696311626013,0.13303761830281804,0.6194140118929993,0.2008061029917143,0.6133239880011118,0.31915806566412314,0.46683594360594677,0.23222698761235905,0.7213519089311566,0.35921378333115805,0.7125981567767504,0.24569794389007454
R02_SMA120,0.8899984728144256,1.0,0.885793327588967,0.8084358446405125,0.9181862139022243,0.9016766890105221,0.9404003680255008,0.8395336530738499,0.3397848631275982,0.5153617826054053,0.6285941475668705,0.9164368306272139,0.4581532259548118,0.15473747798830717,0.5761044838935047,0.20952617277905472,0.6057680856334178,0.33696057084873815,0.4522401839909413,0.22997082087738954,0.7143189253060145,0.37179991719469035,0.7077512460682882,0.20668486356102406
R03_SMA200,0.8429954429836024,0.885793327588967,1.0,0.7886791755185713,0.8626730948748268,0.9118055899766285,0.8782943100534395,0.7604725630443882,0.4140831980957588,0.6511583690157501,0.6653521895330413,0.8557040325969534,0.5258763646730371,0.20798529501665516,0.6034106382953243,0.23114177850114342,0.6494130108078765,0.43072549933422943,0.50184177601362,0.2890503407112316,0.7269430100371441,0.4209970536402656,0.7424357956553113,0.2780034039227237
R04_MOM20,0.8878384067989429,0.8084358446405125,0.7886791755185713,1.0,0.7920504385693841,0.7732518356580652,0.8989987593475102,0.8348077044378184,0.25834612422221837,0.3852220996676871,0.5946860810906457,0.8824662333717841,0.5462583750150747,0.145916168130367,0.6577963500109,0.19012123569182965,0.6160634900936199,0.2948055247713001,0.46937972583479537,0.20185023905449595,0.7001927815365988,0.34385142201059377,0.6949339799615071,0.2599966101597463
R05_MOM60,0.8781553088577616,0.9181862139022243,0.8626730948748268,0.7920504385693841,1.0,0.8621830255946327,0.9003548832521091,0.8376196275837479,0.3577985341486989,0.5156468476697645,0.6525082958286634,0.8753670018905195,0.44429187655478336,0.2041868111769022,0.5500091487634934,0.252387912271736,0.6140223268920892,0.38843755753197107,0.4639919834516108,0.2890710998354099,0.7269529381997688,0.43645507764034114,0.7187521327555286,0.2814152040875597
R06_MOM120,0.8173924801180331,0.9016766890105221,0.9118055899766285,0.7732518356580652,0.8621830255946327,1.0,0.8669680189807949,0.7713208479042948,0.35363630531350637,0.5460580340918691,0.6310877403428097,0.8349533241162446,0.48257497370867625,0.1981296718471887,0.5733821019787724,0.20923910455370226,0.5835910741523707,0.39609820445654953,0.4523779043503447,0.2508663675919559,0.6968350814163867,0.4102123430894089,0.6975778824920179,0.26975454442292607
R07_TREND_VOTE,0.9665122582789138,0.9404003680255008,0.8782943100534395,0.8989987593475102,0.9003548832521091,0.8669680189807949,1.0,0.860719030319583,0.30715342401780715,0.4497952444846302,0.6218187265284255,0.9748630261282235,0.5183449771403966,0.15647361789595562,0.6343899553281217,0.2145187389411311,0.632025854044848,0.33223051958292077,0.46439522197834404,0.2394445749432858,0.7420590440908068,0.35570310994654664,0.7278086834999429,0.2176266157092026
R08_BREAKOUT,0.8495732299920704,0.8395336530738499,0.7604725630443882,0.8348077044378184,0.8376196275837479,0.7713208479042948,0.860719030319583,1.0,0.21696653789396836,0.38834009549129966,0.6091851052705941,0.8398898238041003,0.44779925341075366,0.1107765407031101,0.5544401644547866,0.15353281581989017,0.5773438556196433,0.29082703566291973,0.4172720438790423,0.15038020824305037,0.6764512521019366,0.34273416713027033,0.652617069696937,0.19128162313484828
R09_RSI2,0.2869916470187447,0.3397848631275982,0.4140831980957588,0.25834612422221837,0.3577985341486989,0.35363630531350637,0.30715342401780715,0.21696653789396836,1.0,0.6415064580952947,0.4370735304784666,0.30627853650451436,0.4702902013937236,0.4583834199730251,0.45709684002993506,0.4025980784338624,0.5097537437516625,0.5074635741143498,0.5806154236409442,0.4362731947165297,0.5510627343750613,0.41137163290397105,0.6021367134480697,0.3837853470798037
R10_RSI2_TREND,0.4595925060029962,0.5153617826054053,0.6511583690157501,0.3852220996676871,0.5156468476697645,0.5460580340918691,0.4497952444846302,0.38834009549129966,0.6415064580952947,1.0,0.4337205743566671,0.45064705996758675,0.2928932901942434,0.16998922923979082,0.34298919669124,0.17230812621919855,0.3746166774504219,0.3153929931702452,0.4473872233799398,0.2428614765046686,0.43948450269451306,0.3191042900049713,0.5106044865381335,0.28517517601569087
