period,cost,model,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,SEQUENTIAL_REGIME_STRATEGY_SELECTION,78,15,12,0,0,0.03130366995588425
evaluation,STRESS,SEQUENTIAL_REGIME_STRATEGY_SELECTION,64,17,15,0,0,0.024789016682020056
earlier_diagnostic,BASE,SEQUENTIAL_REGIME_STRATEGY_SELECTION,50,10,7,0,0,0.03129356590637307
earlier_diagnostic,STRESS,SEQUENTIAL_REGIME_STRATEGY_SELECTION,51,10,8,0,0,0.03227857644609458
