period,model,cost,decision_origins,core_origins,capped_sum_origins,cash_origins,unknown_target_origins,mean_target
evaluation,SEQUENTIAL_REGIME_STRATEGY_SELECTION,BASE,1604,0,202,1402,0,0.031723062419565205
evaluation,SEQUENTIAL_REGIME_STRATEGY_SELECTION,STRESS,1604,0,139,1465,0,0.025224146583092584
earlier_diagnostic,SEQUENTIAL_REGIME_STRATEGY_SELECTION,BASE,1219,39,140,1040,0,0.03213977772959445
earlier_diagnostic,SEQUENTIAL_REGIME_STRATEGY_SELECTION,STRESS,1219,37,142,1040,0,0.03292871762552268
