period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,226,22,28,0,0,0.03739842196553408
evaluation,STRESS,226,22,28,0,0,0.03740593450360788
earlier_diagnostic,BASE,276,17,15,0,0,0.09843692218032592
earlier_diagnostic,STRESS,282,17,16,0,0,0.10133700773627115
