period,cost,decision_origins,positive_target_origins,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,1604,257,1347,0,0,0
evaluation,STRESS,1604,257,1347,0,0,0
earlier_diagnostic,BASE,1219,276,943,0,0,0
earlier_diagnostic,STRESS,1219,282,937,0,0,0
