group,n,M0_mse,M0_mae,M0_direction_accuracy,M0_true_up,M0_false_up,M0_true_nonup,M0_false_nonup,M1_mse,M1_mae,M1_direction_accuracy,M1_true_up,M1_false_up,M1_true_nonup,M1_false_nonup,actual_up_count,actual_down_count,mse_improvement,relative_mse_improvement
ALL,33,0.011860193575543123,0.08995423897236847,0.48484848484848486,14,13,2,4,0.012568621024342655,0.09347316547765509,0.48484848484848486,14,13,2,4,18,15,-0.0007084274487995316,-0.059731524977836625
ACTUAL_UP,18,0.011746436107854178,0.0844852289068383,0.7777777777777778,14,0,0,4,0.011766466301691793,0.08576335255058358,0.7777777777777778,14,0,0,4,18,0,-2.0030193837615104e-05,-0.0017052145564578557
ACTUAL_DOWN,15,0.011996702536769861,0.09651705105100468,0.13333333333333333,0,13,2,0,0.013531206691523684,0.10272494099014091,0.13333333333333333,0,13,2,0,0,15,-0.0015345041547538234,-0.12791049457553627
2023,6,0.006609616465978892,0.07633554151065634,0.16666666666666666,0,3,1,2,0.008225667975278933,0.08290797984312208,0.16666666666666666,0,3,1,2,2,4,-0.0016160515093000408,-0.2445000428721096
2024,12,0.021461777369601434,0.12985672868002326,0.3333333333333333,3,6,1,2,0.022360216208180406,0.13123615528202187,0.3333333333333333,3,6,1,2,5,7,-0.0008984388385789716,-0.041862275575159244
2025,12,0.006976385668441919,0.06888456815534177,0.75,9,3,0,0,0.00696737226963929,0.07098888402479046,0.75,9,3,0,0,9,3,9.013398802628497e-06,0.0012919868870497119
2026,3,0.003490244246843167,0.041860358333280355,0.6666666666666666,2,1,0,0,0.004493141405932523,0.05348870334071252,0.6666666666666666,2,1,0,0,2,1,-0.0010028971590893558,-0.2873429732020759
