origin,origin_index,label_exit_date,Y60,source_eligible,training_samples,status,M0,M1
2020-01-23,1867,,,False,0,NO_VIEW_SOURCE,,
2020-02-28,1887,,,False,0,NO_VIEW_SOURCE,,
2020-03-31,1909,,,False,0,NO_VIEW_SOURCE,,
2020-04-30,1930,,,False,0,NO_VIEW_SOURCE,,
2020-05-29,1948,,,False,0,NO_VIEW_SOURCE,,
2020-06-30,1968,,,False,0,NO_VIEW_SOURCE,,
2020-07-31,1991,,,False,0,NO_VIEW_SOURCE,,
2020-08-31,2012,,,False,0,NO_VIEW_SOURCE,,
2020-09-30,2034,,,False,0,NO_VIEW_SOURCE,,
2020-10-30,2050,,,False,0,NO_VIEW_SOURCE,,
2020-11-30,2071,,,False,0,NO_VIEW_SOURCE,,
2020-12-31,2094,,,False,0,NO_VIEW_SOURCE,,
2021-01-29,2114,,,False,0,NO_VIEW_SOURCE,,
2021-02-26,2129,,,False,0,NO_VIEW_SOURCE,,
2021-03-31,2152,,,False,0,NO_VIEW_SOURCE,,
2021-04-30,2173,,,False,0,NO_VIEW_SOURCE,,
2021-05-31,2191,,,False,0,NO_VIEW_SOURCE,,
2021-06-30,2212,,,False,0,NO_VIEW_SOURCE,,
2021-07-30,2234,,,False,0,NO_VIEW_SOURCE,,
2021-08-31,2256,,,False,0,NO_VIEW_SOURCE,,
2021-09-30,2276,,,False,0,NO_VIEW_SOURCE,,
2021-10-29,2292,,,False,0,NO_VIEW_SOURCE,,
2021-11-30,2314,,,False,0,NO_VIEW_SOURCE,,
2021-12-31,2337,,,False,0,NO_VIEW_SOURCE,,
2022-01-28,2356,,,False,0,NO_VIEW_SOURCE,,
2022-02-28,2372,,,False,0,NO_VIEW_SOURCE,,
2022-03-31,2395,,,False,0,NO_VIEW_SOURCE,,
2022-04-29,2414,2022-07-29,0.07613065326633173,True,0,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-05-31,2433,2022-08-25,0.01565174859378793,True,0,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-06-30,2454,2022-09-26,-0.13716814159292035,True,0,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-07-29,2475,2022-11-01,-0.14764621968616276,True,1,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-08-31,2498,2022-12-02,-0.0423728813559322,True,2,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-09-30,2519,2023-01-03,0.018101887768295688,True,3,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-10-31,2535,2023-02-01,0.17935843793584372,True,3,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-11-30,2557,2023-03-03,0.05276381909547756,True,4,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2022-12-30,2579,2023-04-04,0.05257810515621042,True,5,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-01-31,2595,2023-04-27,-0.05187319884726216,True,6,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-02-28,2615,,,False,7,NO_VIEW_SOURCE,,
2023-03-31,2638,2023-07-04,-0.030864197530864224,True,8,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-04-28,2657,2023-07-31,0.02167954149015694,True,10,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-05-31,2677,2023-08-28,0.055804158989207764,True,10,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-06-30,2697,2023-09-25,-0.021593830334190267,True,10,NO_VIEW_INSUFFICIENT_MATURE_TRAINING_MONTHS,,
2023-07-31,2718,2023-11-01,-0.0980392156862745,True,12,TRAINED_PAIRED_MODELS,-0.04223909927784815,-0.02721505442484082
2023-08-31,2741,2023-12-04,-0.07933627171376723,True,13,TRAINED_PAIRED_MODELS,0.021890902507187476,0.03157669907707504
2023-09-28,2761,2024-01-02,-0.0678733031674209,True,14,TRAINED_PAIRED_MODELS,0.012942831686592283,0.017597416948158567
2023-10-31,2778,2024-01-25,-0.09266304347826093,True,14,TRAINED_PAIRED_MODELS,0.006999386168960774,0.0410619639697328
2023-11-30,2800,2024-03-05,0.006458859870822842,True,15,TRAINED_PAIRED_MODELS,-0.017932311587377462,-0.008699836876691593
2023-12-29,2821,2024-04-03,0.039120502569960136,True,16,TRAINED_PAIRED_MODELS,-0.05699571990516172,-0.042235820125408774
2024-01-31,2843,2024-05-10,0.14468749999999986,True,18,TRAINED_PAIRED_MODELS,-0.10678602032299318,-0.1128505669838811
2024-02-29,2858,2024-05-31,0.028848900314195847,True,18,TRAINED_PAIRED_MODELS,-0.12434084352945342,-0.13078703199552455
2024-03-29,2879,2024-07-02,-0.012994350282485856,True,19,TRAINED_PAIRED_MODELS,-0.08613199885806005,-0.07468825124320136
2024-04-30,2899,2024-07-30,-0.05329670329670333,True,20,TRAINED_PAIRED_MODELS,0.1245500851670272,0.1410980130717391
2024-05-31,2919,2024-08-27,-0.05391061452513968,True,22,TRAINED_PAIRED_MODELS,0.17901733379529577,0.1818515274888397
2024-06-28,2938,2024-09-25,0.0005735589331803403,True,22,TRAINED_PAIRED_MODELS,0.059305647828630514,0.05722759168151174
2024-07-31,2961,2024-11-04,0.137064534551685,True,24,TRAINED_PAIRED_MODELS,0.01690507127990812,0.012527381228899206
2024-08-30,2983,2024-12-04,0.19195504288672005,True,25,TRAINED_PAIRED_MODELS,0.026326576719973703,0.028417485074515157
2024-09-30,3002,2024-12-31,-0.12220790378006874,True,26,TRAINED_PAIRED_MODELS,0.02472513633839924,0.02555948754557015
2024-10-31,3020,2025-01-27,-0.007063572149344055,True,26,TRAINED_PAIRED_MODELS,0.02009612316519349,0.020682191625608807
2024-11-29,3041,2025-03-05,-0.004253189892419296,True,27,TRAINED_PAIRED_MODELS,0.0548717179371595,0.05022430676612037
2024-12-31,3063,2025-04-07,-0.05472636815920395,True,29,TRAINED_PAIRED_MODELS,0.037241064878134784,0.036363340945866005
