period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,reconciliation_error
evaluation,BASE,REARM_RIDGE,-87875.21154000028,-67432.10000000008,-6042.399999999998,3542.11154,10858.600000000288,8.36735125631094e-11
evaluation,BASE,PANIC_LEARNED_HALF,-64321.18712000013,-44175.300000000105,-1300.7999999999997,4643.98712,14201.100000000162,1.3278622645884752e-10
evaluation,BASE,BUY_HOLD,-57992.70008000001,-13634.50000000012,-20769.2,5834.10008,17754.900000000063,1.709850039333105e-10
evaluation,STRESS,REARM_RIDGE,-97807.92556000027,-66824.50000000007,-6031.999999999998,6581.225560000001,18370.199999999833,-3.601599019020796e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-78750.50132000016,-44365.60000000009,-1411.9999999999995,8725.601320000002,24247.299999999843,-2.1827872842550278e-10
evaluation,STRESS,BUY_HOLD,-76949.00332000013,-14239.300000000103,-20922.800000000003,11082.103320000002,30704.79999999988,-1.4551915228366852e-10
earlier_diagnostic,BASE,REARM_RIDGE,-168968.11484000008,-159775.80000000008,1682.9999999999998,2733.31484,8141.999999999921,-8.549250196665525e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,-111337.97600000011,-102420.00000000006,2645.5,2931.2760000000003,8632.199999999924,-1.291482476517558e-10
earlier_diagnostic,BASE,BUY_HOLD,-107867.41770000011,-80296.7000000001,-13441.199999999997,3572.7177,10556.799999999896,-1.1459633242338896e-10
earlier_diagnostic,STRESS,REARM_RIDGE,-175559.88399999996,-157208.20000000007,1615.1000000000001,5202.984,14763.799999999874,-1.6370904631912708e-11
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,-119290.0447199999,-100420.30000000008,2577.6000000000004,5592.84472,15854.499999999878,5.275069270282984e-11
earlier_diagnostic,STRESS,BUY_HOLD,-118391.91131999994,-78509.8000000001,-13509.099999999997,6867.71132,19505.299999999883,4.729372449219227e-11
