period,cost,buy_trades,sell_trades,holding_closes,mean_exposure,unfilled_requests,zero_target_origins,full_target_origins,no_view_origins,old_model_after_failed_fit_origins
evaluation,BASE,74,74,357,0.22192484529425816,0,1247,357,0,0
evaluation,STRESS,74,74,357,0.22203174310188503,0,1247,357,0,0
earlier_diagnostic,BASE,56,56,270,0.2209506485907083,0,949,270,0,0
earlier_diagnostic,STRESS,56,56,270,0.22092519408738936,0,949,270,0,0
