model,cost,date,cash,shares,equity,dividend_receivable,next_execution_date,next_request,next_target
ENTRY_VINTAGE_EXIT,BASE,2026-09-11,171.7658600001596,66000,302385.76586000016,0.0,2026-09-14,0,1.0
ENTRY_VINTAGE_EXIT,STRESS,2026-09-11,294.40208000008715,64200,294266.2020800001,0.0,2026-09-14,0,1.0
DOWNSIDE_REFERENCE_RISK,BASE,2026-09-11,115861.30715999997,34400,273378.90715999994,0.0,2026-09-14,0,0.5868567112153114
PANIC_ONLY,BASE,2026-09-11,222060.93666,0,222060.93666,0.0,2026-09-14,0,0.0
REARM_RIDGE_CONTINUOUS,BASE,2026-09-11,620815.8702600009,0,620815.8702600009,0.0,2026-09-14,0,0.0
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,2026-09-11,248834.40644000017,0,248834.40644000017,0.0,2026-09-14,0,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,2026-09-11,313858.6629400002,0,313858.6629400002,0.0,2026-09-14,0,0.0
TWO_CLOSE_ZERO_EXIT,BASE,2026-09-11,392646.4747400003,0,392646.4747400003,0.0,2026-09-14,0,0.0
CONFIRMED_RISK_EPISODE_30_10,BASE,2026-09-11,375032.75721999997,0,375032.75721999997,0.0,2026-09-14,0,0.0
R2_Z_CONFIRM,BASE,2026-09-11,233540.97640000013,0,233540.97640000013,0.0,2026-09-14,0,0.0
MEAN_REBOUND_AUX_50,BASE,2026-09-11,387197.31142000045,0,387197.31142000045,0.0,2026-09-14,0,0.0
ADD_GATE_EXPOSURE_115,BASE,2026-09-11,409571.1216000002,0,409571.1216000002,0.0,2026-09-14,0,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,2026-09-11,325135.40918000025,0,325135.40918000025,0.0,2026-09-14,0,0.0
SELECTED_MIX_BAND10_SIMPLE2,BASE,2026-09-11,400689.26602000016,0,400689.26602000016,0.0,2026-09-14,0,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,2026-09-11,306757.6096399998,0,306757.6096399998,0.0,2026-09-14,0,0.0
TWO_CLOSE_ZERO_EXIT,STRESS,2026-09-11,377188.58216,0,377188.58216,0.0,2026-09-14,0,0.0
CONFIRMED_RISK_EPISODE_30_10,STRESS,2026-09-11,364655.14159999974,0,364655.14159999974,0.0,2026-09-14,0,0.0
R2_Z_CONFIRM,STRESS,2026-09-11,225530.85807999998,0,225530.85807999998,0.0,2026-09-14,0,0.0
MEAN_REBOUND_AUX_50,STRESS,2026-09-11,367084.6031200002,0,367084.6031200002,0.0,2026-09-14,0,0.0
ADD_GATE_EXPOSURE_115,STRESS,2026-09-11,393843.89243999973,0,393843.89243999973,0.0,2026-09-14,0,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,2026-09-11,317709.2588399999,0,317709.2588399999,0.0,2026-09-14,0,0.0
SELECTED_MIX_BAND10_SIMPLE2,STRESS,2026-09-11,386452.42188,0,386452.42188,0.0,2026-09-14,0,0.0
