cost,period,start_close,end_close,completed_days,net_profit_cny,net_return,trades,commission,slippage_cost,strict_forward
BASE,八月正常延续,2026-08-13,2026-08-31,12,3234.4829200000386,0.008137989672113877,2,61.917080000000006,191.99999999995043,False
BASE,九月增量,2026-08-31,2026-09-11,9,0.0,0.0,0,0.0,0.0,False
BASE,全部补充历史,2026-08-13,2026-09-11,21,3234.4829200000386,0.008137989672113877,2,61.917080000000006,191.99999999995043,False
STRESS,八月正常延续,2026-08-13,2026-08-31,12,2962.0670399999944,0.007723967506916285,2,118.13296000000001,308.9999999999934,False
STRESS,九月增量,2026-08-31,2026-09-11,9,0.0,0.0,0,0.0,0.0,False
STRESS,全部补充历史,2026-08-13,2026-09-11,21,2962.0670399999944,0.007723967506916285,2,118.13296000000001,308.9999999999934,False
