node,cost,old_ledger_rows,old_decision_rows,numeric_ledger_columns,maximum_equity_difference,new_continuous_rows,status
ENTRY_VINTAGE_EXIT,BASE,1603,1604,28,0.0,1624,PASS_OLD_NORMAL_PREFIX
ENTRY_VINTAGE_EXIT,STRESS,1603,1604,28,0.0,1624,PASS_OLD_NORMAL_PREFIX
DOWNSIDE_REFERENCE_RISK,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
PANIC_ONLY,BASE,3209,3210,28,0.0,3230,PASS_OLD_NORMAL_PREFIX
REARM_RIDGE_CONTINUOUS,BASE,3209,3210,28,0.0,3230,PASS_OLD_NORMAL_PREFIX
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
TWO_CLOSE_ZERO_EXIT,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
CONFIRMED_RISK_EPISODE_30_10,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
R2_Z_CONFIRM,BASE,1603,1604,28,0.0,1624,PASS_OLD_NORMAL_PREFIX
MEAN_REBOUND_AUX_50,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
ADD_GATE_EXPOSURE_115,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
SELECTED_MIX_BAND10_SIMPLE2,BASE,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
TWO_CLOSE_ZERO_EXIT,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
CONFIRMED_RISK_EPISODE_30_10,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
R2_Z_CONFIRM,STRESS,1603,1604,28,0.0,1624,PASS_OLD_NORMAL_PREFIX
MEAN_REBOUND_AUX_50,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
ADD_GATE_EXPOSURE_115,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
SELECTED_MIX_BAND10_SIMPLE2,STRESS,1603,1604,26,0.0,1624,PASS_OLD_NORMAL_PREFIX
