date,minute_sum,daily_volume,ratio,absolute_difference
2021-08-12,133971695.0,133971695,1.0,0.0
2021-08-13,202566401.0,202566401,1.0,0.0
2021-08-16,186203629.0,186203629,1.0,0.0
2021-08-17,352300896.0,352300896,1.0,0.0
2021-08-18,384771032.0,384771032,1.0,0.0
2021-08-19,240311000.0,240311000,1.0,0.0
2021-08-20,418441340.0,418441340,1.0,0.0
2021-08-23,352961261.0,352961261,1.0,0.0
2021-08-24,317705413.0,317705413,1.0,0.0
2021-08-25,207656406.0,207656406,1.0,0.0
2021-08-26,194840259.0,194840259,1.0,0.0
2021-08-27,232236414.0,232236414,1.0,0.0
2021-08-30,215532211.0,215532211,1.0,0.0
2021-08-31,245032607.0,245032607,1.0,0.0
2021-09-01,386518269.0,386518269,1.0,0.0
2021-09-02,224004834.0,224004834,1.0,0.0
2021-09-03,348367264.0,348367264,1.0,0.0
2021-09-06,494535866.0,494535866,1.0,0.0
2021-09-07,457495603.0,457495603,1.0,0.0
2021-09-08,236943077.0,236943077,1.0,0.0
2021-09-09,182545189.0,182545189,1.0,0.0
2021-09-10,389334975.0,389334975,1.0,0.0
2021-09-13,320015733.0,320015733,1.0,0.0
2021-09-14,327711994.0,327711994,1.0,0.0
2021-09-15,270735874.0,270735874,1.0,0.0
2021-09-16,429348425.0,429348425,1.0,0.0
2021-09-17,513992694.0,513992694,1.0,0.0
2021-09-22,491629600.0,491629600,1.0,0.0
2021-09-23,286973255.0,286973255,1.0,0.0
2021-09-24,464771190.0,464771190,1.0,0.0
2021-09-27,359893578.0,359893578,1.0,0.0
2021-09-28,263635257.0,263635257,1.0,0.0
2021-09-29,592261073.0,592261073,1.0,0.0
2021-09-30,312959671.0,312959671,1.0,0.0
2021-10-08,244624120.0,244624120,1.0,0.0
2021-10-11,260322371.0,260322371,1.0,0.0
2021-10-12,330606824.0,330606824,1.0,0.0
2021-10-13,253573666.0,253573666,1.0,0.0
2021-10-14,199808658.0,199808658,1.0,0.0
2021-10-15,217970095.0,217970095,1.0,0.0
2021-10-18,251260474.0,251260474,1.0,0.0
2021-10-19,288469796.0,288469796,1.0,0.0
2021-10-20,156696300.0,156696300,1.0,0.0
2021-10-21,224085516.0,224085516,1.0,0.0
2021-10-22,334597340.0,334597340,1.0,0.0
2021-10-25,265374504.0,265374504,1.0,0.0
2021-10-26,247909532.0,247909532,1.0,0.0
2021-10-27,278104300.0,278104300,1.0,0.0
2021-10-28,441341200.0,441341200,1.0,0.0
2021-10-29,426484699.0,426484699,1.0,0.0
2021-11-01,195002345.0,195002345,1.0,0.0
2021-11-02,429413513.0,429413513,1.0,0.0
2021-11-03,340635107.0,340635107,1.0,0.0
