period,cost,cycles,losing_cycles,net_profit,largest_three_positive_profit,largest_three_vs_net_profit
evaluation,BASE,24,9,59246.59242000005,39079.35466000001,0.6596051023992373
evaluation,STRESS,24,9,55720.9354,38403.7182,0.6892152460168499
earlier_diagnostic,BASE,22,9,40200.71668000008,61901.27150000003,1.5398051729459843
earlier_diagnostic,STRESS,22,10,36204.46028000007,61218.96935999999,1.6909234079597186
