period,cost,holding_closes,buy_trades,sell_trades,unfilled_requests,no_view_target_origins,mean_exposure
evaluation,BASE,228,25,26,0,0,0.0607787046911575
evaluation,STRESS,228,25,26,0,0,0.06077635179235397
earlier_diagnostic,BASE,437,24,24,0,0,0.17087250750881663
earlier_diagnostic,STRESS,437,24,24,0,0,0.1710882339837776
