period,date,selected_parent,target,two_parent_target,three_parent_target,relative_prediction,prediction_origin,selection_status,selection_update_scheduled,selection_changed,prediction_mom20,prediction_sma120,prediction_vol20,two_reference_return,three_reference_return
evaluation,2021-10-08,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.003314999101511307,2021-10-08,PREDICTION_AVAILABLE,True,False,0.011451657039833339,-0.014536214219275756,0.13703398908938552,0.0,0.0
evaluation,2021-11-01,TWO_POLICY_MIN_VARIANCE,0.10511872904231401,0.10511872904231401,0.19828738388132378,-0.0028722732545457524,2021-11-01,PREDICTION_AVAILABLE,True,False,0.00040290089183215357,-0.02094178892569809,0.11893297638570284,-0.00033931569968614905,-0.0005032948614563937
evaluation,2021-12-01,TWO_POLICY_MIN_VARIANCE,0.09663485465257282,0.09663485465257282,0.04347811615923804,-0.003215964438783442,2021-12-01,PREDICTION_AVAILABLE,True,False,0.006315596015220643,-0.02027172669480981,0.0959163739396812,0.00027064272734289574,8.566639131402098e-06
evaluation,2022-01-04,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0023598230053851975,2022-01-04,PREDICTION_AVAILABLE,True,False,0.003211564382214024,-0.0009009910901988105,0.13695332480704958,0.0,0.0
evaluation,2022-02-07,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0006476694198869341,2022-02-07,PREDICTION_AVAILABLE,True,False,-0.06377551474862628,-0.05210072638173613,0.1676897841986226,0.0,0.0
evaluation,2022-03-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0026433228415163783,2022-03-01,PREDICTION_AVAILABLE,True,False,-0.015287196191184387,-0.04769657378670067,0.15865738590821707,0.0,0.0
evaluation,2022-04-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0024938410265466387,2022-04-01,PREDICTION_AVAILABLE,True,False,-0.05136356598731197,-0.09570620249808548,0.3365414226518768,0.0,0.0
evaluation,2022-05-05,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0033186911170136097,2022-05-05,PREDICTION_AVAILABLE,True,False,-0.05306672093669225,-0.1281002133120187,0.280474699485007,0.0,0.0
evaluation,2022-06-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.004000803205193543,2022-06-01,PREDICTION_AVAILABLE,True,False,0.016794664938713785,-0.08203083651089138,0.17976523487493506,0.0,0.0
evaluation,2022-07-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0036674196807463645,2022-07-01,PREDICTION_AVAILABLE,True,False,0.09299814284892476,0.03613501251647233,0.1624600482474015,0.0,0.0
evaluation,2022-08-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,0.0014498801781255783,2022-08-01,PREDICTION_AVAILABLE,True,True,-0.0646417484663607,-0.005086469989827314,0.11982824773362961,0.0,0.0
evaluation,2022-09-01,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,0.000343576105684386,2022-09-01,PREDICTION_AVAILABLE,True,False,-0.011138129674194768,-0.020140366224625894,0.14336827821664347,0.0,0.0
evaluation,2022-10-10,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,7.085885797803392e-05,2022-10-10,PREDICTION_AVAILABLE,True,False,-0.07497476826595487,-0.0883426234109953,0.14659890288116778,0.0,0.0
evaluation,2022-11-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0011713428601028905,2022-11-01,PREDICTION_AVAILABLE,True,True,-0.06431908037303655,-0.10170053449990668,0.24124708821605131,0.0,0.0
evaluation,2022-12-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0020446362113639063,2022-12-01,PREDICTION_AVAILABLE,True,False,0.06501048959187022,-0.03223241752305139,0.21434285999230704,0.0,0.0
evaluation,2023-01-03,THREE_POLICY_MIN_VARIANCE,0.0,0.0,0.0,0.0008855277963550436,2023-01-03,PREDICTION_AVAILABLE,True,True,-0.013831479148461648,-0.01573355765336315,0.1070492376118276,0.0,0.0
evaluation,2023-02-01,THREE_POLICY_MIN_VARIANCE,0.6046028748689166,0.0,0.6046028748689166,0.0019227249213590225,2023-02-01,PREDICTION_AVAILABLE,True,False,0.07507457876645555,0.06624385693603307,0.1088450938252019,0.0,0.004490822101780978
evaluation,2023-03-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.00045237406087423975,2023-03-01,PREDICTION_AVAILABLE,True,True,-0.016847570572611312,0.050025410252779956,0.15752818575921793,0.0,0.0
evaluation,2023-04-03,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-9.979322150707921e-05,2023-04-03,PREDICTION_AVAILABLE,True,False,-0.004646053106130273,0.03754861792699504,0.12350699111822637,0.0,0.0
evaluation,2023-05-04,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0002509236534584714,2023-05-04,PREDICTION_AVAILABLE,True,False,-0.006191970247920719,0.00905764884124749,0.12381422789382372,0.0,0.0
evaluation,2023-06-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0001970940534559762,2023-06-01,PREDICTION_AVAILABLE,True,False,-0.054895721731917355,-0.05019217669278797,0.1211267518843495,0.0,0.0
evaluation,2023-07-03,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.6046028748689166,-0.000598896571444334,2023-07-03,PREDICTION_AVAILABLE,True,False,0.030246586457262793,-0.019761136534820256,0.13399534953231515,0.0,0.006939733581712293
evaluation,2023-08-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.6046028748689166,-0.0008173191679990746,2023-08-01,PREDICTION_AVAILABLE,True,False,0.033002995239287576,0.02069334850678195,0.15885776756605227,0.0,-0.0026799837908246804
evaluation,2023-09-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.001997356727007665,2023-09-01,PREDICTION_AVAILABLE,True,False,-0.05833730323277519,-0.02225991632752511,0.13823083658261578,0.0,0.0
evaluation,2023-10-09,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.00201156787397207,2023-10-09,PREDICTION_AVAILABLE,True,False,-0.028363245842005443,-0.041397302599939345,0.12426239234860646,0.0,0.0
evaluation,2023-11-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.001659165744040708,2023-11-01,PREDICTION_AVAILABLE,True,False,-0.034011375408700355,-0.056201613164458375,0.1278133503624921,0.0,0.0
evaluation,2023-12-01,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0016403613217872912,2023-12-01,PREDICTION_AVAILABLE,True,False,-0.02916468336581222,-0.06827527196094152,0.09232831088771123,0.0,0.0
evaluation,2024-01-02,TWO_POLICY_MIN_VARIANCE,0.0,0.0,0.0,-0.0008356781139925915,2024-01-02,PREDICTION_AVAILABLE,True,False,-0.02035328966607771,-0.07421723140994352,0.14832906731726375,0.0,0.0
