period,date,status,training_rows,latest_maturity_index,prediction,selected_parent
evaluation,2020-01-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,0,,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-02-03,NO_VIEW_INSUFFICIENT_MATURE_ROWS,0,,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-03-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,18,1888.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-04-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,40,1910.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-05-06,NO_VIEW_INSUFFICIENT_MATURE_ROWS,61,1931.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-06-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,79,1949.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-07-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,99,1969.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-08-03,NO_VIEW_INSUFFICIENT_MATURE_ROWS,122,1992.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-09-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,143,2013.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-10-09,NO_VIEW_INSUFFICIENT_MATURE_ROWS,165,2035.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-11-02,NO_VIEW_INSUFFICIENT_MATURE_ROWS,181,2051.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2020-12-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,202,2072.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2021-01-04,NO_VIEW_INSUFFICIENT_MATURE_ROWS,225,2095.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2021-02-01,NO_VIEW_INSUFFICIENT_MATURE_ROWS,245,2115.0,,TWO_POLICY_MIN_VARIANCE
evaluation,2021-03-01,FIT_COMPLETE,260,2130.0,0.0035076896129152646,THREE_POLICY_MIN_VARIANCE
evaluation,2021-04-01,FIT_COMPLETE,283,2153.0,-0.0008689070867103503,TWO_POLICY_MIN_VARIANCE
evaluation,2021-05-06,FIT_COMPLETE,304,2174.0,-0.00355559893394274,TWO_POLICY_MIN_VARIANCE
evaluation,2021-06-01,FIT_COMPLETE,322,2192.0,-0.003659920333618446,TWO_POLICY_MIN_VARIANCE
evaluation,2021-07-01,FIT_COMPLETE,343,2213.0,-0.0022476326547074847,TWO_POLICY_MIN_VARIANCE
evaluation,2021-08-02,FIT_COMPLETE,365,2235.0,-0.0019503164543385946,TWO_POLICY_MIN_VARIANCE
evaluation,2021-09-01,FIT_COMPLETE,387,2257.0,-0.0024902300358975137,TWO_POLICY_MIN_VARIANCE
evaluation,2021-10-08,FIT_COMPLETE,407,2277.0,-0.0033149991015113105,TWO_POLICY_MIN_VARIANCE
evaluation,2021-11-01,FIT_COMPLETE,423,2293.0,-0.002872273254545755,TWO_POLICY_MIN_VARIANCE
evaluation,2021-12-01,FIT_COMPLETE,445,2315.0,-0.0032159644387834392,TWO_POLICY_MIN_VARIANCE
evaluation,2022-01-04,FIT_COMPLETE,468,2338.0,-0.0023598230053851975,TWO_POLICY_MIN_VARIANCE
evaluation,2022-02-07,FIT_COMPLETE,487,2357.0,-0.0006476694198869328,TWO_POLICY_MIN_VARIANCE
evaluation,2022-03-01,FIT_COMPLETE,503,2373.0,-0.0026433228415163774,TWO_POLICY_MIN_VARIANCE
evaluation,2022-04-01,FIT_COMPLETE,504,2396.0,-0.0024938410265466283,TWO_POLICY_MIN_VARIANCE
evaluation,2022-05-05,FIT_COMPLETE,504,2415.0,-0.003318691117013607,TWO_POLICY_MIN_VARIANCE
evaluation,2022-06-01,FIT_COMPLETE,504,2434.0,-0.004000803205193541,TWO_POLICY_MIN_VARIANCE
evaluation,2022-07-01,FIT_COMPLETE,504,2455.0,-0.0036674196807463585,TWO_POLICY_MIN_VARIANCE
evaluation,2022-08-01,FIT_COMPLETE,504,2476.0,0.001449880178125579,THREE_POLICY_MIN_VARIANCE
evaluation,2022-09-01,FIT_COMPLETE,504,2499.0,0.0003435761056843861,THREE_POLICY_MIN_VARIANCE
evaluation,2022-10-10,FIT_COMPLETE,504,2520.0,7.085885797803392e-05,THREE_POLICY_MIN_VARIANCE
evaluation,2022-11-01,FIT_COMPLETE,504,2536.0,-0.001171342860102891,TWO_POLICY_MIN_VARIANCE
evaluation,2022-12-01,FIT_COMPLETE,504,2558.0,-0.002044636211363903,TWO_POLICY_MIN_VARIANCE
evaluation,2023-01-03,FIT_COMPLETE,504,2580.0,0.0008855277963550442,THREE_POLICY_MIN_VARIANCE
evaluation,2023-02-01,FIT_COMPLETE,504,2596.0,0.0019227249213590219,THREE_POLICY_MIN_VARIANCE
evaluation,2023-03-01,FIT_COMPLETE,504,2616.0,-0.00045237406087424056,TWO_POLICY_MIN_VARIANCE
evaluation,2023-04-03,FIT_COMPLETE,504,2639.0,-9.979322150707941e-05,TWO_POLICY_MIN_VARIANCE
evaluation,2023-05-04,FIT_COMPLETE,504,2658.0,-0.00025092365345847164,TWO_POLICY_MIN_VARIANCE
