period,monthly_origins,completed_models,no_view_models,two_selected_days,three_selected_days,selection_changes,complete_labels,zero_complete_labels
evaluation,80,66,14,1360,244,15,1584,701
earlier_diagnostic,60,46,14,714,505,13,1199,446
