period,cost,holding_decisions,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,130,130,0,30,30,0,433
evaluation,STRESS,125,125,0,30,30,0,433
earlier_diagnostic,BASE,255,51,204,4,9,0,418
earlier_diagnostic,STRESS,255,51,204,4,9,0,418
