period,cost,cycles,positive_cycles,negative_cycles,net_profit,gross_price_profit,dividend_recognized,commission,slippage,held_closes,mean_held_closes,original_cycles,original_held_closes,matched_entry_origins,only_new_entry_origins,only_original_entry_origins
evaluation,BASE,30,15,15,39118.04998000009,40864.30000000002,9671.4,2883.8500200000003,8533.799999999927,130,4.333333333333333,24,252,24,6,0
evaluation,STRESS,30,15,15,32847.90124000002,44459.399999999994,9447.9,5664.69876,15394.699999999972,125,4.166666666666667,24,252,24,6,0
earlier_diagnostic,BASE,9,6,3,101110.87649999994,102799.09999999995,1939.0000000000002,927.0235,2700.200000000004,255,28.333333333333332,9,299,9,0,0
earlier_diagnostic,STRESS,9,6,3,96896.40883999996,102053.19999999995,1939.0000000000002,1839.69116,5256.100000000004,255,28.333333333333332,9,299,9,0,0
