date,d60_factor,entry_condition,original_price_exit,mom5,mom20,sma120,vol20
2012-05-28,,False,False,,,,
2012-05-29,,False,False,,,,
2012-05-30,,False,False,,,,
2012-05-31,,False,False,,,,
2012-06-01,,False,False,,,,
2012-06-04,,False,False,-0.017823021189672106,,,
2012-06-05,,False,False,-0.03189511477205198,,,
2012-06-06,,False,False,-0.02964605946260928,,,
2012-06-07,,False,False,-0.03363935974969065,,,
2012-06-08,,False,False,-0.037184764290726105,,,
2012-06-11,,False,False,0.002342835901772667,,,
2012-06-12,,False,False,-0.005089069507471181,,,
2012-06-13,,False,False,0.010108950782740657,,,
2012-06-14,,False,False,0.01211662273395228,,,
2012-06-15,,False,False,0.01953950402140829,,,
2012-06-18,,False,False,0.010861239431604854,,,
2012-06-19,,False,False,0.009763795589690295,,,
2012-06-20,,False,False,-0.0058196090532640415,,,
2012-06-21,,False,False,-0.017241806434506218,,,
2012-06-25,,False,False,-0.04108002574346475,,,
2012-06-26,,False,False,-0.04417121831313765,-0.04879016416943229,,0.1619925117020019
2012-06-27,,False,False,-0.040449606293134086,-0.06766999498296704,,0.14839363092794178
2012-06-28,,False,False,-0.04496480536808643,-0.07032152310121906,,0.14860771875781248
2012-06-29,,False,False,-0.017946643190836827,-0.05671118664108134,,0.1573549077221245
2012-07-02,,False,False,0.0020140993717011856,-0.05671118664108134,,0.1573549077221245
2012-07-03,,False,False,0.0036224632085639545,-0.02734467977119609,,0.12948851827574556
2012-07-04,,False,False,0.00725809637898165,-0.028516783831933394,,0.12926348372535687
2012-07-05,,False,False,0.0016266778698765952,-0.03904878576873322,,0.13368677102664694
2012-07-06,,False,False,0.006417992346889817,-0.01665383454450084,,0.14667844353723405
2012-07-09,,False,False,-0.013776555002616571,-0.03330297735297186,,0.16106571508744189
2012-07-10,,False,False,-0.01947323197463192,-0.04916074764760087,,0.15347180607206273
2012-07-11,,False,False,-0.01497700531148988,-0.038404719635951975,,0.15460305436766525
2012-07-12,,False,False,0.005268502561377552,-0.043889233990096276,,0.14818082952356046
2012-07-13,,False,False,-0.00923886868853111,-0.03800932596698417,,0.14852503585440763
2012-07-16,,False,False,-0.005318073486895633,-0.058160554861275734,,0.15486883048489375
2012-07-17,,False,False,0.0008190008647804177,-0.059202986214425206,,0.15439915056891856
2012-07-18,,False,False,-0.003677225798361728,-0.05184574102400393,,0.1538299435605707
2012-07-19,,False,False,-0.009340169424320897,-0.047409794361153085,,0.15510622694371906
2012-07-20,,False,False,-0.018326719405565562,-0.039094238938043535,,0.14866837131182137
2012-07-23,,False,False,-0.014460074304748207,-0.031540603422559134,,0.13924965002283332
2012-07-24,,False,False,-0.014430264829029007,-0.029462032730316563,,0.1397295654868489
2012-07-25,,False,False,-0.020678983349367443,-0.032075118080237275,,0.1405403124368576
2012-07-26,,False,False,-0.028555633612867337,-0.031000622605934048,,0.14019166092596685
2012-07-27,,False,False,-0.019925939461081062,-0.0410735352082879,,0.13253076429102834
2012-07-30,,False,False,-0.010878768376275202,-0.044433471170535616,,0.13239411274191462
2012-07-31,,False,False,-0.015484720363306236,-0.048569216302186795,,0.13166401492742352
2012-08-01,,False,False,-0.0016729405825638562,-0.041006155041782864,,0.13599727105946655
2012-08-02,,False,False,-0.004628663849840005,-0.03725596432565052,,0.13337185016178973
2012-08-03,,False,False,-1.1102230246251565e-16,-0.047491527555177784,,0.11965673319070777
2012-08-06,,False,False,0.016274091694511602,-0.014382824473407312,,0.11249541096014629
2012-08-07,,False,False,0.02004242454462165,-0.009053559782933132,,0.11197714841640141
2012-08-08,,False,False,0.013305809612248976,-0.012723340118044086,,0.11063547093521438
2012-08-09,,False,False,0.03073331584356676,-0.011791151043461366,,0.11171686901795837
