period,cost,control,terminal_nav_difference,price_difference,dividend_difference,commission_difference,slippage_difference,identity_error
evaluation,BASE,REARM_RIDGE,-44015.52572000009,-42796.10000000001,633.8000000000011,506.12572,1347.1000000001386,5.820766091346741e-11
evaluation,BASE,REARM_NONE,-10906.942239999888,1101.3999999998487,-5715.4,1633.5422399999998,4659.399999999834,9.731593308970332e-11
evaluation,BASE,PANIC_LEARNED_HALF,-20461.501299999945,-19539.300000000032,5375.4,1608.0013,4689.600000000013,1.000444171950221e-10
evaluation,BASE,BUY_HOLD,-14133.014259999822,11001.499999999949,-14093.000000000002,2798.11426,8243.399999999916,1.4733814168721437e-10
evaluation,STRESS,REARM_RIDGE,-40982.74947999997,-37988.60000000002,574.3000000000011,992.3494799999999,2576.0999999999367,-1.3642420526593924e-11
evaluation,STRESS,REARM_NONE,-12385.086879999813,5069.299999999857,-5732.999999999998,3189.08688,8532.299999999872,2.000888343900442e-10
evaluation,STRESS,PANIC_LEARNED_HALF,-21925.32523999986,-15529.70000000004,5194.3,3136.72524,8453.199999999948,1.291482476517558e-10
evaluation,STRESS,BUY_HOLD,-20123.82723999984,14596.599999999948,-14316.500000000002,5493.22724,14910.699999999983,1.964508555829525e-10
earlier_diagnostic,BASE,REARM_RIDGE,-2452.0148799999733,-2440.9999999999854,0.0,2.6148800000000847,8.400000000034197,4.638422979041934e-11
earlier_diagnostic,BASE,REARM_NONE,9370.106120000011,9419.0,0.0,14.49387999999999,34.400000000001455,1.2732925824820995e-11
earlier_diagnostic,BASE,PANIC_LEARNED_HALF,55178.12396,54914.80000000003,962.5000000000001,200.57604000000003,498.60000000003674,1.8189894035458565e-12
earlier_diagnostic,BASE,BUY_HOLD,58648.68226,77038.1,-15124.199999999997,842.01774,2423.2000000000094,2.2737367544323206e-12
earlier_diagnostic,STRESS,REARM_RIDGE,-2427.152319999994,-2406.199999999968,0.0,4.9523200000001,16.0,-2.5693225325085223e-11
earlier_diagnostic,STRESS,REARM_NONE,9247.333600000129,9344.000000000015,0.0,28.666400000000067,68.0,1.1459633242338896e-10
earlier_diagnostic,STRESS,PANIC_LEARNED_HALF,53842.68696000008,54381.70000000004,962.5000000000001,394.81304,1106.7000000000044,4.274625098332763e-11
earlier_diagnostic,STRESS,BUY_HOLD,54740.82036000004,76292.20000000001,-15124.199999999997,1669.67964,4757.50000000001,3.728928277269006e-11
