period,cost,days,cycles,net_sharpe
evaluation,BASE,1604,24,0.5914337493013545
evaluation,STRESS,1604,24,0.5286690350250471
earlier_diagnostic,BASE,1219,9,0.747697665787205
earlier_diagnostic,STRESS,1219,9,0.724697402620827
