period,cost,holding_decisions,unknown_peak_age_rows,model_available_rows,no_model_rows,learned_exit_cycles,completed_round_trips,unfilled_requests,waiting_for_new_condition_rows
evaluation,BASE,245,0,245,0,23,24,0,351
evaluation,STRESS,245,0,245,0,23,24,0,351
earlier_diagnostic,BASE,299,0,95,204,2,9,0,385
earlier_diagnostic,STRESS,299,0,95,204,2,9,0,385
