fit_origin,cycles,rows,largest_gradient,peak_age_coefficient
2017-03-01,10,438,1.97758476261356e-16,-0.009899672896071392
2017-04-05,10,438,1.97758476261356e-16,-0.009899672896071392
2017-05-02,10,438,1.97758476261356e-16,-0.009899672896071392
2017-06-01,11,497,2.42861286636753e-16,-0.00556348566780299
2017-07-03,11,497,2.42861286636753e-16,-0.00556348566780299
2017-08-01,11,497,2.42861286636753e-16,-0.00556348566780299
2017-09-01,12,556,1.5265566588595902e-16,-0.00323040394245233
2017-10-09,12,556,1.5265566588595902e-16,-0.00323040394245233
2017-11-01,12,556,1.5265566588595902e-16,-0.00323040394245233
2017-12-01,13,615,1.942890293094024e-16,-0.0017922867270907404
2018-01-02,13,615,1.942890293094024e-16,-0.0017922867270907404
2018-02-01,13,615,1.942890293094024e-16,-0.0017922867270907404
2018-03-01,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-04-02,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-05-02,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-06-01,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-07-02,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-08-01,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-09-03,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-10-08,14,671,3.916138247017642e-16,-0.0017880936402033876
2018-11-01,15,678,2.42861286636753e-16,-0.0026532902068927768
2018-12-03,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-01-02,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-02-01,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-03-01,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-04-01,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-05-06,15,678,2.42861286636753e-16,-0.0026532902068927768
2019-06-03,16,721,2.181414771040835e-16,0.00032654427393547354
2019-07-01,16,721,2.181414771040835e-16,0.00032654427393547354
2019-08-01,17,759,1.9992688060632702e-16,0.0018146225625676848
2019-09-02,17,759,1.9992688060632702e-16,0.0018146225625676848
2019-10-08,17,759,1.9992688060632702e-16,0.0018146225625676848
2019-11-01,17,759,1.9992688060632702e-16,0.0018146225625676848
2019-12-02,17,759,1.9992688060632702e-16,0.0018146225625676848
2020-01-02,17,759,1.9992688060632702e-16,0.0018146225625676848
2020-02-03,17,759,1.9992688060632702e-16,0.0018146225625676848
2020-03-02,17,759,1.9992688060632702e-16,0.0018146225625676848
2020-04-01,18,787,4.388850394221322e-16,0.0034784288289187756
2020-05-06,18,787,4.388850394221322e-16,0.0034784288289187756
2020-06-01,19,829,4.748805515486509e-16,0.0037343392721756233
2020-07-01,19,829,4.748805515486509e-16,0.0037343392721756233
2020-08-03,19,829,4.748805515486509e-16,0.0037343392721756233
2020-09-01,19,829,4.748805515486509e-16,0.0037343392721756233
2020-10-09,20,888,4.2283884726934673e-16,0.0024399073432214246
2020-11-02,20,888,4.2283884726934673e-16,0.0024399073432214246
2020-12-01,20,888,4.2283884726934673e-16,0.0024399073432214246
2021-01-04,20,888,4.2283884726934673e-16,0.0024399073432214246
2021-02-01,20,888,4.2283884726934673e-16,0.0024399073432214246
2021-03-01,20,862,2.983724378680108e-16,0.0014529947202637857
2021-04-01,20,862,2.983724378680108e-16,0.0014529947202637857
2021-05-06,20,862,2.983724378680108e-16,0.0014529947202637857
2021-06-01,20,862,2.983724378680108e-16,0.0014529947202637857
2021-07-01,20,862,2.983724378680108e-16,0.0014529947202637857
2021-08-02,20,844,2.3548871186385156e-16,-0.0035157818388158496
2021-09-01,20,844,2.3548871186385156e-16,-0.0035157818388158496
2021-10-08,20,844,2.3548871186385156e-16,-0.0035157818388158496
2021-11-01,20,844,2.3548871186385156e-16,-0.0035157818388158496
2021-12-01,20,844,2.3548871186385156e-16,-0.0035157818388158496
2022-01-04,20,844,2.3548871186385156e-16,-0.0035157818388158496
2022-02-07,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-03-01,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-04-01,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-05-05,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-06-01,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-07-01,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-08-01,20,892,2.7755575615628914e-16,-0.0028643583181093397
2022-09-01,20,890,1.942890293094024e-16,0.0013455284352522042
2022-10-10,20,885,1.240327285323417e-16,0.0018121889485414283
2022-11-01,20,885,1.240327285323417e-16,0.0018121889485414283
2022-12-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-01-03,20,885,1.240327285323417e-16,0.0018121889485414283
2023-02-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-03-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-04-03,20,885,1.240327285323417e-16,0.0018121889485414283
2023-05-04,20,885,1.240327285323417e-16,0.0018121889485414283
2023-06-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-07-03,20,885,1.240327285323417e-16,0.0018121889485414283
2023-08-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-09-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-10-09,20,885,1.240327285323417e-16,0.0018121889485414283
2023-11-01,20,885,1.240327285323417e-16,0.0018121889485414283
2023-12-01,20,885,1.240327285323417e-16,0.0018121889485414283
2024-01-02,20,885,1.240327285323417e-16,0.0018121889485414283
2024-02-01,20,885,1.240327285323417e-16,0.0018121889485414283
2024-03-01,20,885,1.240327285323417e-16,0.0018121889485414283
2024-04-01,20,885,1.240327285323417e-16,0.0018121889485414283
2024-05-06,20,885,1.240327285323417e-16,0.0018121889485414283
2024-06-03,20,885,1.0408340855860843e-16,0.0014179579521550897
2024-07-01,20,885,1.0408340855860843e-16,0.0014179579521550897
2024-08-01,20,915,3.6038880213418167e-16,0.0005748058161191016
2024-09-02,20,915,3.6038880213418167e-16,0.0005748058161191016
2024-10-08,20,896,1.8648277366750676e-16,-0.000572475819977013
2024-11-01,20,842,1.249000902703301e-16,-0.0029613274226804463
2024-12-02,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-01-02,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-02-05,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-03-03,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-04-01,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-05-06,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-06-03,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-07-01,20,842,1.249000902703301e-16,-0.0029613274226804463
2025-08-01,20,842,2.203098814490545e-16,-0.002774510584234976
2025-09-01,20,842,2.203098814490545e-16,-0.002774510584234976
2025-10-09,20,842,2.203098814490545e-16,-0.002774510584234976
2025-11-03,20,842,2.723515857283587e-16,-0.004701593795384331
2025-12-01,20,842,2.723515857283587e-16,-0.004701593795384331
2026-01-05,20,842,2.723515857283587e-16,-0.004701593795384331
2026-02-02,20,842,2.1163626406917047e-16,-0.0024602211307646993
2026-03-02,20,795,1.7672495411513722e-16,-0.002958901012279551
2026-04-01,20,795,1.7672495411513722e-16,-0.002958901012279551
2026-05-06,20,795,1.7672495411513722e-16,-0.002958901012279551
2026-06-01,20,795,1.7672495411513722e-16,-0.002958901012279551
2026-07-01,20,795,1.7672495411513722e-16,-0.002958901012279551
2026-08-03,20,790,2.463307335887066e-16,-0.004367471330203143
