date,trading_days,valid_days,minimum_companies,median_companies,maximum_companies
2015,244,0,0,0.0,0
2016,244,0,0,0.0,0
2017,244,0,0,201.0,228
2018,243,0,138,227.0,230
2019,244,0,131,227.0,232
2020,243,0,101,226.0,233
2021,243,0,116,234.0,238
2022,242,165,119,242.0,246
2023,242,234,140,249.0,254
2024,242,233,130,248.5,251
2025,243,235,148,247.0,250
2026,149,96,165,244.0,246
