period,cost,model,cumulative_return,annualized_return,annualized_arithmetic_mean,annualized_volatility,net_sharpe,max_drawdown,trading_days,mean_exposure,trade_count,commission,slippage_cost,terminal_unliquidated,max_accounting_error,point_met
evaluation,BASE,P__IMMEDIATE__H5__FULL__STANDALONE,0.4343356765999992,0.055928101049961,0.0566903520548364,0.0685025671363667,0.8275653661560459,-0.0570681298706994,1604,0.0404294317331027,26,1309.86468,4097.200000000035,False,4.837374945054762e-11,False
evaluation,BASE,P__IMMEDIATE__H5__FULL__MAX,0.8804050150999994,0.0999604795046856,0.0986467505066211,0.0829580226652931,1.1891164632096718,-0.0603035579948106,1604,0.1414053370322628,82,3186.5969800000003,9729.100000000031,False,9.595169103704392e-11,False
evaluation,BASE,P__IMMEDIATE__H5__FULL__REMAINING,0.8804050150999994,0.0999604795046856,0.0986467505066211,0.0829580226652931,1.1891164632096718,-0.0603035579948106,1604,0.1414053370322628,82,3186.5969800000003,9729.100000000031,False,9.595169103704392e-11,False
evaluation,BASE,P__IMMEDIATE__H5__VOL10__STANDALONE,0.2599665596000001,0.0354793632425363,0.0357318647774754,0.0420701239858479,0.8493406102034643,-0.0364920754579625,1604,0.0237977574954233,26,708.88808,2220.3000000000407,False,3.426237071835203e-11,False
evaluation,BASE,P__IMMEDIATE__H5__VOL10__MAX,0.7212837336999987,0.0853847766209772,0.0843079808811307,0.0692915570285997,1.216713615575603,-0.0546611933933124,1604,0.1308007217017995,84,2705.05326,8217.200000000026,False,7.730704965069889e-11,False
evaluation,BASE,P__IMMEDIATE__H5__VOL10__REMAINING,0.7752036049999973,0.0904475321530564,0.0891787765118018,0.0724551007547588,1.2308143330536263,-0.05461075702806,1604,0.1319096708905912,87,2810.7790000000005,8544.500000000013,False,1.2204282029415478e-10,False
evaluation,BASE,P__IMMEDIATE__H10__FULL__STANDALONE,0.344736175599999,0.0457017624751954,0.0481116037861848,0.083292601902777,0.5776215736704079,-0.1055482914819944,1604,0.0734028685597497,26,1241.36488,3887.300000000058,False,4.18367562815547e-11,False
evaluation,BASE,P__IMMEDIATE__H10__FULL__MAX,0.7918547493,0.0919845846445086,0.0923234790210468,0.0934293777481975,0.9881632656258164,-0.1055135153747147,1604,0.1688621242597021,79,3054.5501400000003,9321.500000000047,False,1.0368239600211382e-10,False
evaluation,BASE,P__IMMEDIATE__H10__FULL__REMAINING,0.7918547493,0.0919845846445086,0.0923234790210468,0.0934293777481975,0.9881632656258164,-0.1055135153747147,1604,0.1688621242597021,79,3054.5501400000003,9321.500000000047,False,1.0368239600211382e-10,False
evaluation,BASE,P__IMMEDIATE__H10__VOL10__STANDALONE,0.2123983261000002,0.0294844860757403,0.0303233056962481,0.0505397888251566,0.5999887692675606,-0.0653419245568597,1604,0.0431175566802993,26,684.6347800000001,2148.100000000022,False,4.729372449219227e-11,False
evaluation,BASE,P__IMMEDIATE__H10__VOL10__MAX,0.6683181921999974,0.0802787714104784,0.0798990592100929,0.0735301062081073,1.0866169427793289,-0.062399418860283,1604,0.1473807347227115,84,2623.6615600000005,7966.199999999997,False,7.116796041373162e-11,False
evaluation,BASE,P__IMMEDIATE__H10__VOL10__REMAINING,0.7284485871999993,0.0860652064743828,0.0854861785404583,0.0768866036494591,1.1118475063641289,-0.062222661642156,1604,0.1490176346937158,86,2734.4825600000004,8308.699999999986,False,8.731149137020111e-11,False
evaluation,BASE,P__IMMEDIATE__H20__FULL__STANDALONE,0.1299109185999993,0.0185982571200149,0.0230742287664242,0.0966930680186859,0.2386337432375728,-0.1877749390402971,1604,0.1211712736052168,26,1074.81628,3275.800000000011,False,2.7341684472048652e-11,False
evaluation,BASE,P__IMMEDIATE__H20__FULL__MAX,0.4894415842999962,0.0619511492050094,0.065648427811759,0.1055070965342644,0.622218125303439,-0.1737610448191255,1604,0.2121053306435953,74,2447.68314,7348.400000000014,False,6.957634468562901e-11,False
evaluation,BASE,P__IMMEDIATE__H20__FULL__REMAINING,0.4894415842999962,0.0619511492050094,0.065648427811759,0.1055070965342644,0.622218125303439,-0.1737610448191255,1604,0.2121053306435953,74,2447.68314,7348.400000000014,False,6.957634468562901e-11,False
evaluation,BASE,P__IMMEDIATE__H20__VOL10__STANDALONE,0.0769445320999993,0.0112466577835876,0.0129803290051775,0.0600545583682839,0.2161422772535561,-0.1259692998952895,1604,0.0703315975300564,26,622.19358,1892.6000000000172,False,4.035882739117369e-11,False
evaluation,BASE,P__IMMEDIATE__H20__VOL10__MAX,0.4672704628999989,0.0595509844236122,0.061048013193961,0.0803136104177911,0.7601203939953576,-0.1110830590676825,1604,0.171460111239597,82,2286.6074200000003,6864.800000000008,False,7.696598913753405e-11,False
