period,cost,model,net_return,average_weight_part,timing_part,execution_rights_part,friction_part,mean_prior_weight
early,BASE,CONFIRMED_STUMP,0.043087090682983775,0.04073454214379337,0.003792632374394382,0.0014522831659816316,-0.0028923670011856252,0.5228206745343208
early,BASE,NO_FACTOR_LEARNER,0.03316874341983798,0.04276982904984915,-0.010168227124860894,0.0024954111511061015,-0.0019282696562563611,0.548943223533121
early,BASE,FIXED_WEEKLY_VOL10,0.07192485554178187,0.046342165784955806,0.02666287727373515,0.0002731156030143396,-0.0013533031199234329,0.5947935363933768
early,STRESS,CONFIRMED_STUMP,0.04128012278081465,0.040643298574215045,0.004424733801788297,0.001713099713989222,-0.005501009309177904,0.5216495793879589
early,STRESS,NO_FACTOR_LEARNER,0.0322912658931319,0.042683431606170726,-0.009532037464990232,0.002759469671048565,-0.00361959791909715,0.5478343275592191
early,STRESS,FIXED_WEEKLY_VOL10,0.07158914331391449,0.046272309914790095,0.02731332378341581,0.0005251888898517907,-0.002521679274143199,0.5938969486023248
main,BASE,CONFIRMED_STUMP,-0.01485512704710375,0.01759022100864453,-0.03403712570427095,0.004879473213412253,-0.0032876955648895767,0.3450170584715461
main,BASE,NO_FACTOR_LEARNER,-0.006932664069537141,0.01846343416523487,-0.027309332021596033,0.0038400070592601344,-0.0019267732724361068,0.3621443836232538
main,BASE,FIXED_WEEKLY_VOL10,0.028970467425719352,0.03373214914882123,0.006387367229087987,-0.008915730424606694,-0.002233318527583171,0.6616270977795171
main,STRESS,CONFIRMED_STUMP,-0.01635830521800009,0.017580548085837876,-0.032924066619479254,0.0049270352961047655,-0.0059418219804634655,0.34482733240887
main,STRESS,NO_FACTOR_LEARNER,-0.007458093113934189,0.018438873551115117,-0.026367576116148345,0.003886729222228582,-0.003416119771129539,0.36166264829805855
main,STRESS,FIXED_WEEKLY_VOL10,0.028069123501301176,0.0337095653389269,0.0072690784610415825,-0.008857376009715912,-0.004052144288951387,0.6611841357692618
