period,cost,left,right,net_return,average_weight_part,timing_part,execution_rights_part,friction_part,mean_prior_weight
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,0.009918347263145798,-0.0020352869060557763,0.013960859499255277,-0.0010431279851244699,-0.0009640973449292641,-0.026122548998800177
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,-0.03875611212194389,-0.0035723367351066584,-0.03683110439859605,0.002222295548091762,-0.0005749665363329283,-0.04585031286025587
early,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,-0.02883776485879809,-0.005607623641162435,-0.02287024489934077,0.001179167562967292,-0.0015390638812621924,-0.07197286185905605
early,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,0.00898885688768275,-0.0020401330319556807,0.01395677126677853,-0.001046369957059343,-0.001881411390080754,-0.026184748171260264
early,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,-0.039297877420782584,-0.00358887830861937,-0.03684536124840604,0.0022342807811967743,-0.0010979186449539512,-0.046062621043105656
early,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,-0.030309020533099834,-0.0056290113405750505,-0.02288858998162751,0.0011879108241374314,-0.0029793300350347053,-0.07224736921436592
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,-0.00792246297756661,-0.0008732131565903425,-0.006727793682674916,0.0010394661541521183,-0.00136092229245347,-0.017127325151707673
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,-0.03590313149525649,-0.015268714983586357,-0.03369669925068402,0.012755737483866828,0.00030654525514706415,-0.2994827141562633
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,-0.0438255944728231,-0.0161419281401767,-0.04042449293335894,0.013795203638018946,-0.0010543770373064058,-0.316610039307971
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,-0.008900212104065901,-0.0008583254652772404,-0.00655649050333091,0.0010403060738761833,-0.0025257022093339264,-0.016835315889188573
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,-0.03552721661523536,-0.01527069178781178,-0.03363665457718993,0.012744105231944493,0.0006360245178218477,-0.2995214874712033
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,-0.04442742871930126,-0.01612901725308902,-0.04019314508052084,0.013784411305820678,-0.0018896776915120787,-0.31635680336039185
