period,cost,left,right,primary_policy,days,annual_arithmetic_contribution
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,CASH,75,0.0007589616521790244
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q50,41,-0.007232028923080068
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q75,59,0.015217867894762697
early,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,PASSIVE,1044,0.0011735466392841457
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,CASH,75,-0.03815173814144295
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q50,41,0.0
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q75,59,-4.0976796422836224e-06
early,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,PASSIVE,1044,-0.000600276300858655
early,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,CASH,75,-0.037392776489263924
early,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q50,41,-0.007232028923080068
early,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q75,59,0.015213770215120414
early,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,PASSIVE,1044,0.0005732703384254907
early,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,CASH,75,0.0008993696113821187
early,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q50,41,-0.007695856793190058
early,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q75,59,0.014817235337971801
early,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,PASSIVE,1044,0.0009681087315188883
early,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,CASH,75,-0.038353832891140555
early,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q50,41,0.0
early,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q75,59,-3.3325499803165506e-05
early,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,PASSIVE,1044,-0.0009107190298388784
early,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,CASH,75,-0.03745446327975843
early,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q50,41,-0.007695856793190058
early,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q75,59,0.014783909838168638
early,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,PASSIVE,1044,5.738970168000994e-05
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,CASH,640,3.0740417522806237e-07
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,HIGH_Q50,60,-0.007116217886496292
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q25,24,-0.0015386593854556502
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q75,216,0.001043528997175682
main,BASE,CONFIRMED_STUMP,NO_FACTOR_LEARNER,PASSIVE,684,-0.00031142210696557886
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,CASH,640,-0.038861081353374495
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,HIGH_Q50,60,-1.5281044660579552e-06
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q25,24,0.005920114428865047
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q75,216,1.7678087313864576e-05
main,BASE,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,PASSIVE,684,-0.0029783145535948524
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,CASH,640,-0.03886077394919927
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,HIGH_Q50,60,-0.00711774599096235
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q25,24,0.004381455043409397
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q75,216,0.0010612070844895466
main,BASE,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,PASSIVE,684,-0.0032897366605604307
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,CASH,640,-6.185671492535179e-09
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,HIGH_Q50,60,-0.00733884296459492
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q25,24,-0.00187845244012779
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,LOW_Q75,216,0.00046432088310406963
main,STRESS,CONFIRMED_STUMP,NO_FACTOR_LEARNER,PASSIVE,684,-0.00014723139677576508
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,CASH,640,-0.03833969381468654
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,HIGH_Q50,60,8.836614280705282e-06
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q25,24,0.005975331323227739
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,LOW_Q75,216,2.0401045906285284e-05
main,STRESS,NO_FACTOR_LEARNER,FIXED_WEEKLY_VOL10,PASSIVE,684,-0.003192091783963553
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,CASH,640,-0.03833970000035804
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,HIGH_Q50,60,-0.007330006350314216
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q25,24,0.004096878883099949
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,LOW_Q75,216,0.0004847219290103549
main,STRESS,CONFIRMED_STUMP,FIXED_WEEKLY_VOL10,PASSIVE,684,-0.0033393231807393184
