node,cost,rows,maximum_absolute_difference
ENTRY_VINTAGE_EXIT,BASE,1604,0.0
ENTRY_VINTAGE_EXIT,STRESS,1604,0.0
VINTAGE_REFERENCE_RISK,BASE,1604,0.0
DOWNSIDE_REFERENCE_RISK,BASE,1604,0.0
VINTAGE_REFERENCE_RISK,STRESS,1604,0.0
DOWNSIDE_REFERENCE_RISK,STRESS,1604,0.0
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,1604,0.0
CONTINUOUS_REFERENCE_MIN_VARIANCE,STRESS,1604,0.0
JOINT_DOWNSIDE_REFERENCE_PAIR,BASE,1604,0.0
MODEL_SUPPORT_REFERENCE_ROUTER,BASE,1604,0.0
TREND_NOISE_REFERENCE_BLEND,BASE,1604,0.0
JOINT_DOWNSIDE_REFERENCE_PAIR,STRESS,1604,0.0
MODEL_SUPPORT_REFERENCE_ROUTER,STRESS,1604,0.0
TREND_NOISE_REFERENCE_BLEND,STRESS,1604,0.0
RETURN_RUNS_STATE,BASE,1604,0.0
RETURN_RUNS_STATE,STRESS,1604,0.0
RETURN_LAG_STATE,BASE,1604,0.0
RETURN_LAG_STATE,STRESS,1604,0.0
RETURN_SIGN_BALANCE,BASE,1604,0.0
RETURN_SIGN_BALANCE,STRESS,1604,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,1604,0.0
ACCOUNT_VOLATILITY_EXPOSURE,BASE,1604,0.0
RISK_EPISODE_30_10,BASE,1604,0.0
TWO_CLOSE_ZERO_EXIT,BASE,1604,0.0
CONFIRMED_RISK_EPISODE_30_10,BASE,1604,0.0
R2_Z_CONFIRM,BASE,1604,0.0
MEAN_REBOUND_AUX_50,BASE,1604,0.0
INTENT_MIX_80_15_05,BASE,1604,0.0
INTENT_MIX_BAND_20,BASE,1604,0.0
ADD_GATE_EXPOSURE_115,BASE,1604,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,1604,0.0
SELECTED_MIX_BAND10_SIMPLE2,BASE,1604,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,1604,0.0
ACCOUNT_VOLATILITY_EXPOSURE,STRESS,1604,0.0
RISK_EPISODE_30_10,STRESS,1604,0.0
TWO_CLOSE_ZERO_EXIT,STRESS,1604,0.0
CONFIRMED_RISK_EPISODE_30_10,STRESS,1604,0.0
R2_Z_CONFIRM,STRESS,1604,0.0
MEAN_REBOUND_AUX_50,STRESS,1604,0.0
INTENT_MIX_80_15_05,STRESS,1604,0.0
INTENT_MIX_BAND_20,STRESS,1604,0.0
ADD_GATE_EXPOSURE_115,STRESS,1604,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,1604,0.0
SELECTED_MIX_BAND10_SIMPLE2,STRESS,1604,0.0
