model,cost,date,cash,shares,equity,dividend_receivable,next_execution_date,next_request,next_target
ENTRY_VINTAGE_EXIT,BASE,2026-08-31,171.7658600001596,66000,309381.76586000016,0.0,2026-09-01,0,1.0
ENTRY_VINTAGE_EXIT,STRESS,2026-08-31,294.40208000008715,64200,301071.4020800001,0.0,2026-09-01,0,1.0
DOWNSIDE_REFERENCE_RISK,BASE,2026-08-31,115861.30715999997,34400,277025.30715999997,0.0,2026-09-01,0,0.6490539675989979
PANIC_ONLY,BASE,2026-08-31,222060.93666,0,222060.93666,0.0,2026-09-01,0,0.0
REARM_RIDGE_CONTINUOUS,BASE,2026-08-31,620815.8702600009,0,620815.8702600009,0.0,2026-09-01,0,0.0
CONTINUOUS_REFERENCE_MIN_VARIANCE,BASE,2026-08-31,248834.40644000017,0,248834.40644000017,0.0,2026-09-01,0,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,BASE,2026-08-31,313858.6629400002,0,313858.6629400002,0.0,2026-09-01,0,0.0
EITHER_CONFIRMED_RUNS_AUXILIARY,STRESS,2026-08-31,306757.6096399998,0,306757.6096399998,0.0,2026-09-01,0,0.0
TWO_CLOSE_ZERO_EXIT,BASE,2026-08-31,392646.4747400003,0,392646.4747400003,0.0,2026-09-01,0,0.0
TWO_CLOSE_ZERO_EXIT,STRESS,2026-08-31,377188.58216,0,377188.58216,0.0,2026-09-01,0,0.0
CONFIRMED_RISK_EPISODE_30_10,BASE,2026-08-31,375032.75721999997,0,375032.75721999997,0.0,2026-09-01,0,0.0
CONFIRMED_RISK_EPISODE_30_10,STRESS,2026-08-31,364655.14159999974,0,364655.14159999974,0.0,2026-09-01,0,0.0
R2_Z_CONFIRM,BASE,2026-08-31,233540.97640000013,0,233540.97640000013,0.0,2026-09-01,0,0.0
R2_Z_CONFIRM,STRESS,2026-08-31,225530.85807999998,0,225530.85807999998,0.0,2026-09-01,0,0.0
MEAN_REBOUND_AUX_50,BASE,2026-08-31,387197.31142000045,0,387197.31142000045,0.0,2026-09-01,0,0.0
MEAN_REBOUND_AUX_50,STRESS,2026-08-31,367084.6031200002,0,367084.6031200002,0.0,2026-09-01,0,0.0
ADD_GATE_EXPOSURE_115,BASE,2026-08-31,409571.1216000002,0,409571.1216000002,0.0,2026-09-01,0,0.0
ADD_GATE_EXPOSURE_115,STRESS,2026-08-31,393843.89243999973,0,393843.89243999973,0.0,2026-09-01,0,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,BASE,2026-08-31,325135.40918000025,0,325135.40918000025,0.0,2026-09-01,0,0.0
RUNS_OPPORTUNITY_CAPPED_SUM,STRESS,2026-08-31,317709.2588399999,0,317709.2588399999,0.0,2026-09-01,0,0.0
SELECTED_MIX_BAND10_SIMPLE2,BASE,2026-08-31,400689.26602000016,0,400689.26602000016,0.0,2026-09-01,0,0.0
SELECTED_MIX_BAND10_SIMPLE2,STRESS,2026-08-31,386452.42188,0,386452.42188,0.0,2026-09-01,0,0.0
