account,category,period,window,model,cost,year,days,return
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,2022,242,-0.04012041424558632
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,2023,242,0.0
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,2024,242,0.09761739021152427
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,2025,243,0.0707693379078409
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,2026,169,-0.04405770847876789
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2020,243,0.005301147499999992
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2021,243,-0.043139438672529784
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2022,242,-0.11388358678635957
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2023,242,0.0
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2024,242,0.16347130970823653
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2025,243,0.08975314784388555
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,2026,169,-0.03788234737313856
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2020,243,0.0028201520000001867
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2021,243,-0.047585032176337805
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2022,242,-0.11658889457833543
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2023,242,0.0
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2024,242,0.15786614064659354
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2025,243,0.0877725982194626
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,2026,169,-0.040965887451305916
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,2015,244,0.05713922760000023
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,2016,244,-0.09668830493789538
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,2017,244,0.22422779248418645
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,2018,243,-0.23007368192658617
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,2019,244,0.35637489877463446
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,2015,244,0.05638523360000014
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,2016,244,-0.09675731612763427
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,2017,244,0.2244049789545246
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,2018,243,-0.23022216705920662
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,2019,244,0.35667368304822467
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,2015,244,0.12711032850000015
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,2016,244,-0.006700176201960839
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,2017,244,0.21729834789416924
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,2018,243,-0.15482381229511466
