account,category,period,window,model,cost,date,open,mark,mark_clock,cash,shares,dividend_receivable,equity,net_return,pnl,price_pnl,dividend_recognized,dividend_paid,exposure,accounting_error,origin,terminal_unliquidated,turnover,requested_quantity,filled_quantity,open_price,fill_price,commission,slippage_cost,notional,status,cash_before,shares_before,cash_after,shares_after
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,2024-09-25,3.489,3.474,CLOSE,213052.4774999999,0,0.0,213052.4774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-24,False,0.0,0,0,3.489,,0.0,0.0,0.0,NO_TRADE,213052.4774999999,0,,
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,2024-09-26,3.468,3.64,CLOSE,213052.4774999999,0,0.0,213052.4774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-25,False,0.0,0,0,3.468,,0.0,0.0,0.0,NO_TRADE,213052.4774999999,0,,
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,2024-09-27,3.7,3.869,CLOSE,213052.4774999999,0,0.0,213052.4774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-26,False,0.0,0,0,3.7,,0.0,0.0,0.0,NO_TRADE,213052.4774999999,0,,
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,2024-09-30,4.007,4.233,CLOSE,213052.4774999999,0,0.0,213052.4774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-27,False,0.0,0,0,4.007,,0.0,0.0,0.0,NO_TRADE,213052.4774999999,0,,
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,2024-10-08,4.656,4.412,CLOSE,213052.4774999999,0,0.0,213052.4774999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-30,False,0.0,11400,0,4.656,,0.0,0.0,0.0,UNFILLED_DIRECTIONAL_LIMIT,213052.4774999999,0,,
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,2024-09-25,3.489,3.474,CLOSE,210754.91535999996,0,0.0,210754.91535999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-24,False,0.0,0,0,3.489,,0.0,0.0,0.0,NO_TRADE,210754.91535999996,0,,
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,2024-09-26,3.468,3.64,CLOSE,210754.91535999996,0,0.0,210754.91535999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-25,False,0.0,0,0,3.468,,0.0,0.0,0.0,NO_TRADE,210754.91535999996,0,,
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,2024-09-27,3.7,3.869,CLOSE,210754.91535999996,0,0.0,210754.91535999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-26,False,0.0,0,0,3.7,,0.0,0.0,0.0,NO_TRADE,210754.91535999996,0,,
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,2024-09-30,4.007,4.233,CLOSE,210754.91535999996,0,0.0,210754.91535999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-27,False,0.0,0,0,4.007,,0.0,0.0,0.0,NO_TRADE,210754.91535999996,0,,
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,2024-10-08,4.656,4.412,CLOSE,210754.91535999996,0,0.0,210754.91535999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-09-30,False,0.0,11300,0,4.656,,0.0,0.0,0.0,UNFILLED_DIRECTIONAL_LIMIT,210754.91535999996,0,,
