account,category,period,window,model,cost,days,end_equity,profit,annual_return,sharpe,volatility,max_drawdown,fills,commission,slippage,mean_exposure,max_accounting_error,ending_shares,cash_days
early_N50_BASE,primary_accounts,early,50.0,SIMPLE_CORE,BASE,1219,224134.43894000005,24134.43894000005,0.022875221524754963,0.3574120835803949,0.070170920064018,-0.085829557176624,54,838.1610600000001,2462.4999999999645,0.24471953408646369,5.2224891078367364e-11,0,748
early_N50_STRESS,primary_accounts,early,50.0,SIMPLE_CORE,STRESS,1219,220732.93828000012,20732.93828000012,0.01977456468971961,0.3139490069009005,0.0702272849000469,-0.08702722702570798,54,1653.66172,4718.099999999988,0.24483156937164816,5.638867150992155e-11,0,748
early_N60_BASE,primary_accounts,early,60.0,SIMPLE_CORE,BASE,1219,255700.15765999997,55700.15765999997,0.04998390807786657,0.8664992986113574,0.058251560381865845,-0.0655879444881946,34,491.34234000000004,1435.90000000001,0.14685377498893137,5.67297320230864e-11,0,879
early_N60_STRESS,primary_accounts,early,60.0,SIMPLE_CORE,STRESS,1219,253585.06184000004,53585.06184000004,0.048253941350211216,0.8390073578901033,0.05819037586555652,-0.06768822223309978,34,976.33816,2822.0999999999894,0.14680692847647217,4.6270542952697724e-11,0,879
early_N70_BASE,primary_accounts,early,70.0,SIMPLE_CORE,BASE,1219,208196.21151999995,8196.211519999953,0.008005284556897863,0.18338500958681211,0.0504336072049315,-0.07310331265246206,21,257.08848,773.3999999999871,0.08449394628580252,3.728928277269006e-11,0,983
early_N70_STRESS,primary_accounts,early,70.0,SIMPLE_CORE,STRESS,1219,207260.6372,7260.637199999997,0.007104411852629333,0.1658669824745266,0.050341604510661976,-0.0742792906845936,21,504.9628,1482.3999999999712,0.08442025025054271,3.984723662142642e-11,0,983
main_N50_BASE,primary_accounts,main,50.0,SIMPLE_CORE,BASE,1624,220257.5456799998,20257.545679999806,0.014480814939873854,0.2579873035786002,0.06352638328294455,-0.09403677153459133,67,948.95432,2887.1999999999857,0.23190030857176402,4.865796654485166e-11,29400,1060
main_N50_STRESS,primary_accounts,main,50.0,SIMPLE_CORE,STRESS,1624,216951.12807999994,16951.128079999937,0.012196841490061283,0.2225567079214507,0.06350647952289341,-0.09654273319881856,67,1873.1719200000002,5214.699999999979,0.23190885067083616,4.000000330961484e-11,29000,1060
main_N60_BASE,primary_accounts,main,60.0,SIMPLE_CORE,BASE,1624,228747.23175999997,28747.231759999966,0.02021431695548226,0.3213285506553413,0.0698333329312255,-0.11846627511189578,74,1046.7682399999999,3230.000000000046,0.2408826721241584,4.547473508864641e-11,35400,1031
main_N60_STRESS,primary_accounts,main,60.0,SIMPLE_CORE,STRESS,1624,224946.89572000003,24946.89572000003,0.0176705474347727,0.2856490171441456,0.06981040987649338,-0.1234246503867108,74,2065.00428,5733.200000000084,0.24098660392642204,4.881073323304008e-11,34800,1031
main_N70_BASE,primary_accounts,main,70.0,SIMPLE_CORE,BASE,1624,207958.94387999992,7958.943879999919,0.00583198988380107,0.11791844755748336,0.07007804748839919,-0.18594390916355097,79,1036.5561200000002,3136.599999999951,0.2439813214981498,5.1954884838778526e-11,28600,1041
main_N70_STRESS,primary_accounts,main,70.0,SIMPLE_CORE,STRESS,1624,203832.12799999994,3832.1279999999388,0.002832212238173426,0.0753171671550278,0.06983875300096512,-0.18862944317210828,79,2014.1720000000003,5590.2999999999365,0.24400644111636838,5.297806637827307e-11,29200,1041
early_BUY_HOLD_BASE,comparators,early,,BUY_HOLD,BASE,1219,244169.24552000003,44169.245520000026,0.040409305212863345,0.2842607920063479,0.25150799155827147,-0.4501919403512673,1,39.954480000000004,110.79999999998779,0.9631807683409372,4.729372449219227e-11,55400,0
early_BUY_HOLD_STRESS,comparators,early,,BUY_HOLD,STRESS,1219,244018.44672,44018.44672000001,0.040281711191537006,0.2837540157753378,0.2516753186789463,-0.4504213486795602,1,79.95328,221.6000000000002,0.9638788321706482,5.4569682106375694e-11,55400,0
early_ETF_VOL10_BASE,comparators,early,,ETF_VOL10,BASE,1219,286636.74690000014,86636.74690000014,0.07406255394127004,0.7178531006417013,0.10760982691550798,-0.21276804875993882,82,580.3531,1730.9000000000146,0.5998046387595299,7.66249286243692e-11,65400,0
early_ETF_VOL10_STRESS,comparators,early,,ETF_VOL10,STRESS,1219,283538.13156,83538.13156000001,0.07174747062553721,0.6978542759175911,0.10759936309164887,-0.21433055064705464,82,1143.96844,3300.2000000000126,0.5999783945940378,7.821654435247183e-11,64700,0
main_BUY_HOLD_BASE,comparators,main,,BUY_HOLD,BASE,1624,245794.88935999997,45794.88935999997,0.03120072193302348,0.26097761645112616,0.17950709453877048,-0.4095181596707963,1,39.91064,145.2000000000055,0.9526022041653335,8.185452315956354e-11,48400,0
main_BUY_HOLD_STRESS,comparators,main,,BUY_HOLD,STRESS,1624,245658.13999999998,45658.139999999985,0.031115209781257258,0.26046555084381023,0.17961831268883494,-0.4097147841252322,1,79.86,241.99999999999483,0.9532084912704749,6.184563972055912e-11,48400,0
main_ETF_VOL10_BASE,comparators,main,,ETF_VOL10,BASE,1624,214724.5001599999,14724.500159999909,0.010642005755874706,0.14972280813451824,0.11456895182970402,-0.32965358688076196,145,924.0998400000001,2687.199999999977,0.6632160690729344,5.2949644668842666e-11,31800,0
main_ETF_VOL10_STRESS,comparators,main,,ETF_VOL10,STRESS,1624,212038.81371999992,12038.813719999918,0.00874825233002019,0.13335479607697423,0.11452567042495308,-0.33733138831491305,141,1718.78628,4767.700000000015,0.6634909446854078,5.616129783447832e-11,31400,0
