period,cost,entry_checks,entries_deferred_for_two_down,no_view_entry_checks,completed_cycles,two_down_present_at_exit_origin
evaluation,BASE,30,1,0,29,27
evaluation,STRESS,30,1,0,29,27
earlier_diagnostic,BASE,16,3,0,13,13
earlier_diagnostic,STRESS,16,3,0,13,13
