era,model,origins,accuracy,up_recall,down_recall,positive_prediction_count,negative_prediction_count,positive_prediction_realized_mean,negative_prediction_realized_mean
ALL,M0,1599,0.4796747967479675,0.5650459921156373,0.4021479713603819,931,668,-0.002452456973791617,0.0023776491450598776
ALL,M1,1599,0.4821763602251407,0.5427069645203679,0.42720763723150357,893,706,-0.0022085843590145546,0.0018092039927762038
2020-2021,M0,486,0.49588477366255146,0.5903614457831325,0.39662447257383965,290,196,-0.0007624015772413731,0.003210989670408155
2020-2021,M1,486,0.49382716049382713,0.6224899598393574,0.35864978902953587,307,179,-0.0008728423508143291,0.003777766031843571
2022-2023,M0,484,0.4380165289256198,0.5573770491803278,0.3654485049833887,293,191,-0.006846436113651886,-0.0016466087837696394
2022-2023,M1,484,0.46487603305785125,0.5901639344262295,0.38870431893687707,292,192,-0.005555319086643845,-0.0036372650296875053
2024-2026,M0,629,0.49920508744038156,0.5501519756838906,0.44333333333333336,348,281,-0.00016130805718389286,0.004531736409964417
2024-2026,M1,629,0.4864864864864865,0.45592705167173253,0.52,294,335,-0.0002794219646258354,0.0038789038355223934
