period,cost,holding_closes,buy_trades,sell_trades,unknown_target_origins,unfilled_requests,mean_exposure
evaluation,BASE,146,34,32,0,0,0.07687470680684408
evaluation,STRESS,146,33,33,0,0,0.07676339613425877
earlier_diagnostic,BASE,211,27,20,0,0,0.11577750479815344
earlier_diagnostic,STRESS,217,27,20,0,0,0.12076103192102101
