period,cost,calendar_rows,decision_origins,parent_positive_origins,positive_origins_allowed,parent_positive_origins_rejected,zero_target_origins,unknown_target_origins,new_model_fits,new_reference_accounts
evaluation,BASE,3456,1604,314,146,168,1458,0,0,0
evaluation,STRESS,3456,1604,314,146,168,1458,0,0,0
earlier_diagnostic,BASE,1852,1219,276,211,65,1008,0,0,0
earlier_diagnostic,STRESS,1852,1219,282,217,65,1002,0,0,0
